代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
GMM,4.57,2.72,147.03%,1.85,136609988,2026-07-13
QTEXW,0.0668,0.0357,114.79%,0.0311,1574,2026-07-13
MRNOW,0.019,0.009,90.00%,0.01,6295,2026-07-13
OIOWW,0.07,0.0327,87.67%,0.0373,34,2026-07-13
JZXN,2.17,1.0,85.47%,1.17,144645207,2026-07-13
WGSWW,0.0023,0.001,76.92%,0.0013,1756,2026-07-13
COOTW,0.0241,0.0104,75.91%,0.0137,13246,2026-07-13
REVBW,0.0099,0.0037,59.68%,0.0062,1962,2026-07-13
NVVE,13.67,4.89,55.69%,8.78,17947457,2026-07-13
AARD,7.6,2.6,52.00%,5.0,3444336,2026-07-13
SUNE,3.83,1.27,49.61%,2.56,74459823,2026-07-13
ZBAO,0.4238,0.1278,43.18%,0.296,316481310,2026-07-13
ALPXW,0.085,0.025,41.67%,0.06,5601,2026-07-13
RDACR,0.0985,0.0284,40.51%,0.0701,17848,2026-07-13
VGASW,0.0311,0.0087,38.84%,0.0224,104,2026-07-13
BEATW,0.028,0.0078,38.61%,0.0202,15822,2026-07-13
NVA+,10.51,2.76,35.61%,7.75,35150,2026-07-13
MTEKW,0.21,0.055,35.48%,0.155,4192,2026-07-13
FTHAW,0.8,0.2,33.33%,0.6,25606,2026-07-13
GGROW,0.0078,0.0018,30.00%,0.006,1508,2026-07-13
HAO,0.3587,-0.7113,-66.48%,1.07,87046152,2026-07-13
JEM,0.5412,-0.5788,-51.68%,1.12,7397557,2026-07-13
ELPW,0.3,-0.266,-47.00%,0.566,83126934,2026-07-13
KWMWW,0.0106,-0.0091,-46.19%,0.0197,9102,2026-07-13
EVLVW,0.0039,-0.003,-43.48%,0.0069,1009405,2026-07-13
SOBR,0.4336,-0.3024,-41.09%,0.736,1152211,2026-07-13
FFAIW,0.0049,-0.0031,-38.75%,0.008,255434,2026-07-13
NVNIW,0.04,-0.0224,-35.90%,0.0624,925,2026-07-13
VRAX,4.08,-2.28,-35.85%,6.36,1683604,2026-07-13
DAICW,0.0083,-0.0046,-35.66%,0.0129,25766,2026-07-13
CDIOW,0.012,-0.0062,-34.07%,0.0182,4249,2026-07-13
FGIWW,0.06,-0.03,-33.33%,0.09,15238,2026-07-13
PRENW,0.0107,-0.005,-31.85%,0.0157,1233432,2026-07-13
EDBLW,0.0331,-0.0149,-31.04%,0.048,20716,2026-07-13
FSHPR,0.0769,-0.0342,-30.78%,0.1111,10,2026-07-13
VTAK,0.815,-0.325,-28.51%,1.14,2280004,2026-07-13
CRGOW,0.032,-0.012,-27.27%,0.044,11742,2026-07-13
SILO,5.7,-2.03,-26.26%,7.73,375313,2026-07-13
LGHL,0.2677,-0.0903,-25.22%,0.358,3356845,2026-07-13
AURE,1.48,-0.47,-24.10%,1.95,65864,2026-07-13
SOXS,4.075,0.005,0.12%,4.07,520212589,2026-07-13
DFNS,0.12,-0.027,-18.37%,0.147,284876424,2026-07-13
BITO,8.67,0.1,1.17%,8.57,270746155,2026-07-13
TZA,3.98,0.05,1.27%,3.93,211592396,2026-07-13
SNDQ,2.38,-0.17,-6.67%,2.55,154203299,2026-07-13
NVDA,210.96,8.18,4.03%,202.78,147207687,2026-07-13
NU,13.75,0.08,0.59%,13.67,122497769,2026-07-13
SKHYV,168.01,19.01,12.76%,149.0,106126804,2026-07-13
SOFI,18.78,0.16,0.86%,18.62,91269758,2026-07-13
YHC,0.0241,-0.005,-17.18%,0.0291,85215078,2026-07-13
AAL,16.95,-0.11,-0.64%,17.06,82032719,2026-07-13
PATH,11.68,-0.12,-1.02%,11.8,75024681,2026-07-13
OPEN,4.765,-0.535,-10.09%,5.3,72531933,2026-07-13
BURU,0.1516,0.0104,7.37%,0.1412,72424171,2026-07-13
