排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,GMM,4.57,2.72,147.03%,136609988
漲幅排行,2,QTEXW,0.0668,0.0357,114.79%,1574
漲幅排行,3,MRNOW,0.019,0.009,90.00%,6295
漲幅排行,4,OIOWW,0.07,0.0327,87.67%,34
漲幅排行,5,JZXN,2.17,1.0,85.47%,144645207
漲幅排行,6,WGSWW,0.0023,0.001,76.92%,1756
漲幅排行,7,COOTW,0.0241,0.0104,75.91%,13246
漲幅排行,8,REVBW,0.0099,0.0037,59.68%,1962
漲幅排行,9,NVVE,13.67,4.89,55.69%,17947457
漲幅排行,10,AARD,7.6,2.6,52.00%,3444336
漲幅排行,11,SUNE,3.83,1.27,49.61%,74459823
漲幅排行,12,ZBAO,0.4238,0.1278,43.18%,316481310
漲幅排行,13,ALPXW,0.085,0.025,41.67%,5601
漲幅排行,14,RDACR,0.0985,0.0284,40.51%,17848
漲幅排行,15,VGASW,0.0311,0.0087,38.84%,104
漲幅排行,16,BEATW,0.028,0.0078,38.61%,15822
漲幅排行,17,NVA+,10.51,2.76,35.61%,35150
漲幅排行,18,MTEKW,0.21,0.055,35.48%,4192
漲幅排行,19,FTHAW,0.8,0.2,33.33%,25606
漲幅排行,20,GGROW,0.0078,0.0018,30.00%,1508
跌幅排行,1,HAO,0.3587,-0.7113,-66.48%,87046152
跌幅排行,2,JEM,0.5412,-0.5788,-51.68%,7397557
跌幅排行,3,ELPW,0.3,-0.266,-47.00%,83126934
跌幅排行,4,KWMWW,0.0106,-0.0091,-46.19%,9102
跌幅排行,5,EVLVW,0.0039,-0.003,-43.48%,1009405
跌幅排行,6,SOBR,0.4336,-0.3024,-41.09%,1152211
跌幅排行,7,FFAIW,0.0049,-0.0031,-38.75%,255434
跌幅排行,8,NVNIW,0.04,-0.0224,-35.90%,925
跌幅排行,9,VRAX,4.08,-2.28,-35.85%,1683604
跌幅排行,10,DAICW,0.0083,-0.0046,-35.66%,25766
跌幅排行,11,CDIOW,0.012,-0.0062,-34.07%,4249
跌幅排行,12,FGIWW,0.06,-0.03,-33.33%,15238
跌幅排行,13,PRENW,0.0107,-0.005,-31.85%,1233432
跌幅排行,14,EDBLW,0.0331,-0.0149,-31.04%,20716
跌幅排行,15,FSHPR,0.0769,-0.0342,-30.78%,10
跌幅排行,16,VTAK,0.815,-0.325,-28.51%,2280004
跌幅排行,17,CRGOW,0.032,-0.012,-27.27%,11742
跌幅排行,18,SILO,5.7,-2.03,-26.26%,375313
跌幅排行,19,LGHL,0.2677,-0.0903,-25.22%,3356845
跌幅排行,20,AURE,1.48,-0.47,-24.10%,65864
成交量排行,1,SOXS,4.075,0.005,0.12%,520212589
成交量排行,2,ZBAO,0.4238,0.1278,43.18%,316481310
成交量排行,3,DFNS,0.12,-0.027,-18.37%,284876424
成交量排行,4,BITO,8.67,0.1,1.17%,270746155
成交量排行,5,TZA,3.98,0.05,1.27%,211592396
成交量排行,6,SNDQ,2.38,-0.17,-6.67%,154203299
成交量排行,7,NVDA,210.96,8.18,4.03%,147207687
成交量排行,8,JZXN,2.17,1.0,85.47%,144645207
成交量排行,9,GMM,4.57,2.72,147.03%,136609988
成交量排行,10,NU,13.75,0.08,0.59%,122497769
成交量排行,11,SKHYV,168.01,19.01,12.76%,106126804
成交量排行,12,SOFI,18.78,0.16,0.86%,91269758
成交量排行,13,HAO,0.3587,-0.7113,-66.48%,87046152
成交量排行,14,YHC,0.0241,-0.005,-17.18%,85215078
成交量排行,15,ELPW,0.3,-0.266,-47.00%,83126934
成交量排行,16,AAL,16.95,-0.11,-0.64%,82032719
成交量排行,17,PATH,11.68,-0.12,-1.02%,75024681
成交量排行,18,SUNE,3.83,1.27,49.61%,74459823
成交量排行,19,OPEN,4.765,-0.535,-10.09%,72531933
成交量排行,20,BURU,0.1516,0.0104,7.37%,72424171
