代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
ZYBT,8.01,7.312,1047.56%,0.698,146433590,2026-07-21
RNWWW,0.0027,0.0012,80.00%,0.0015,19558,2026-07-21
ADVB,8.9,3.8,74.51%,5.1,45710202,2026-07-21
WGSWW,0.0012,0.0005,71.43%,0.0007,28825,2026-07-21
OGGWZ,0.1303,0.0434,49.94%,0.0869,11592,2026-07-21
IVDAW,0.0342,0.0112,48.70%,0.023,162,2026-07-21
LTRYW,0.0103,0.0033,47.14%,0.007,209421,2026-07-21
IREC,26.04,7.7586,42.44%,18.2814,3770,2026-07-21
VEEAW,0.058,0.017,41.46%,0.041,5272,2026-07-21
IREG,9.23,2.63,39.85%,6.6,1678631,2026-07-21
BEATW,0.0328,0.0093,39.57%,0.0235,6628,2026-07-21
IRE,11.695,3.305,39.39%,8.39,13643065,2026-07-21
IREX,16.38,4.61,39.17%,11.77,1924351,2026-07-21
ARCX,12.73,3.535,38.44%,9.195,158994,2026-07-21
KTTAW,0.0098,0.0027,38.03%,0.0071,880,2026-07-21
ACHX,30.16,8.2912,37.91%,21.8688,1764,2026-07-21
GMM,3.51,0.95,37.11%,2.56,26426271,2026-07-21
LCCCR,0.2199,0.0595,37.09%,0.1604,400,2026-07-21
BDMDW,0.0555,0.0148,36.36%,0.0407,15229,2026-07-21
ACHR+,0.047,0.0125,36.23%,0.0345,1670984,2026-07-21
LBGJ,0.2223,-2.1877,-90.78%,2.41,80830654,2026-07-21
GVH,1.48,-3.28,-68.91%,4.76,21896586,2026-07-21
EOSER,0.0065,-0.0127,-66.15%,0.0192,252494441,2026-07-21
RSVRW,0.031,-0.039,-55.71%,0.07,15400,2026-07-21
CREG,0.7721,-0.6579,-46.01%,1.43,3434138,2026-07-21
ASTLW,0.0146,-0.0109,-42.75%,0.0255,24681,2026-07-21
CCGWW,0.0117,-0.0083,-41.50%,0.02,85118,2026-07-21
PSNYW,3.31,-2.26,-40.57%,5.57,355400,2026-07-21
IREZ,7.575,-4.98,-39.67%,12.555,20128826,2026-07-21
LAFAR,0.103,-0.065,-38.69%,0.168,2111,2026-07-21
GTERW,0.0606,-0.036,-37.27%,0.0966,1713,2026-07-21
PRENW,0.011,-0.0065,-37.14%,0.0175,45846,2026-07-21
SPWRW,0.1104,-0.0596,-35.06%,0.17,613,2026-07-21
NEXRW,0.019,-0.0099,-34.26%,0.0289,17469,2026-07-21
BCGWW,0.0875,-0.0445,-33.71%,0.132,8438,2026-07-21
QMLS,9.49,-4.79,-33.54%,14.28,399270,2026-07-21
VCIG,0.6116,-0.3084,-33.52%,0.92,40029817,2026-07-21
AMPGZ,0.75,-0.36,-32.43%,1.11,11527,2026-07-21
ORIQW,0.1212,-0.0568,-31.91%,0.178,61,2026-07-21
DARE,1.34,-0.62,-31.63%,1.96,1104601,2026-07-21
BITO,8.825,0.135,1.55%,8.69,439951669,2026-07-21
ONDS,6.87,0.345,5.29%,6.525,186608652,2026-07-21
AMC,2.455,0.515,26.55%,1.94,183476725,2026-07-21
PATH,12.17,0.02,0.16%,12.15,169675565,2026-07-21
AAL,15.14,0.16,1.07%,14.98,165857066,2026-07-21
NU,13.985,0.395,2.91%,13.59,160430016,2026-07-21
FFAI,0.1096,-0.0242,-18.09%,0.1338,153593906,2026-07-21
SNDQ,4.0,-0.19,-4.53%,4.19,147638072,2026-07-21
KWM,0.1039,-0.02,-16.14%,0.1239,129870545,2026-07-21
MSTU,1.98,0.12,6.45%,1.86,117755065,2026-07-21
ACHR,5.29,0.85,19.14%,4.44,98370081,2026-07-21
IREN,40.2,6.58,19.57%,33.62,90275998,2026-07-21
HL,14.3,-0.03,-0.21%,14.33,89465180,2026-07-21
INTC,97.06,2.02,2.13%,95.04,89086242,2026-07-21
NVDA,203.28,0.47,0.23%,202.81,87650546,2026-07-21
T,21.985,0.175,0.80%,21.81,87474457,2026-07-21
OPEN,4.445,-0.055,-1.22%,4.5,82433701,2026-07-21
NOK,10.095,-0.025,-0.25%,10.12,81085548,2026-07-21
