排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,ZYBT,8.01,7.312,1047.56%,146433590
漲幅排行,2,RNWWW,0.0027,0.0012,80.00%,19558
漲幅排行,3,ADVB,8.9,3.8,74.51%,45710202
漲幅排行,4,WGSWW,0.0012,0.0005,71.43%,28825
漲幅排行,5,OGGWZ,0.1303,0.0434,49.94%,11592
漲幅排行,6,IVDAW,0.0342,0.0112,48.70%,162
漲幅排行,7,LTRYW,0.0103,0.0033,47.14%,209421
漲幅排行,8,IREC,26.04,7.7586,42.44%,3770
漲幅排行,9,VEEAW,0.058,0.017,41.46%,5272
漲幅排行,10,IREG,9.23,2.63,39.85%,1678631
漲幅排行,11,BEATW,0.0328,0.0093,39.57%,6628
漲幅排行,12,IRE,11.695,3.305,39.39%,13643065
漲幅排行,13,IREX,16.38,4.61,39.17%,1924351
漲幅排行,14,ARCX,12.73,3.535,38.44%,158994
漲幅排行,15,KTTAW,0.0098,0.0027,38.03%,880
漲幅排行,16,ACHX,30.16,8.2912,37.91%,1764
漲幅排行,17,GMM,3.51,0.95,37.11%,26426271
漲幅排行,18,LCCCR,0.2199,0.0595,37.09%,400
漲幅排行,19,BDMDW,0.0555,0.0148,36.36%,15229
漲幅排行,20,ACHR+,0.047,0.0125,36.23%,1670984
跌幅排行,1,LBGJ,0.2223,-2.1877,-90.78%,80830654
跌幅排行,2,GVH,1.48,-3.28,-68.91%,21896586
跌幅排行,3,EOSER,0.0065,-0.0127,-66.15%,252494441
跌幅排行,4,RSVRW,0.031,-0.039,-55.71%,15400
跌幅排行,5,CREG,0.7721,-0.6579,-46.01%,3434138
跌幅排行,6,ASTLW,0.0146,-0.0109,-42.75%,24681
跌幅排行,7,CCGWW,0.0117,-0.0083,-41.50%,85118
跌幅排行,8,PSNYW,3.31,-2.26,-40.57%,355400
跌幅排行,9,IREZ,7.575,-4.98,-39.67%,20128826
跌幅排行,10,LAFAR,0.103,-0.065,-38.69%,2111
跌幅排行,11,GTERW,0.0606,-0.036,-37.27%,1713
跌幅排行,12,PRENW,0.011,-0.0065,-37.14%,45846
跌幅排行,13,SPWRW,0.1104,-0.0596,-35.06%,613
跌幅排行,14,NEXRW,0.019,-0.0099,-34.26%,17469
跌幅排行,15,BCGWW,0.0875,-0.0445,-33.71%,8438
跌幅排行,16,QMLS,9.49,-4.79,-33.54%,399270
跌幅排行,17,VCIG,0.6116,-0.3084,-33.52%,40029817
跌幅排行,18,AMPGZ,0.75,-0.36,-32.43%,11527
跌幅排行,19,ORIQW,0.1212,-0.0568,-31.91%,61
跌幅排行,20,DARE,1.34,-0.62,-31.63%,1104601
成交量排行,1,BITO,8.825,0.135,1.55%,439951669
成交量排行,2,EOSER,0.0065,-0.0127,-66.15%,252494441
成交量排行,3,ONDS,6.87,0.345,5.29%,186608652
成交量排行,4,AMC,2.455,0.515,26.55%,183476725
成交量排行,5,PATH,12.17,0.02,0.16%,169675565
成交量排行,6,AAL,15.14,0.16,1.07%,165857066
成交量排行,7,NU,13.985,0.395,2.91%,160430016
成交量排行,8,FFAI,0.1096,-0.0242,-18.09%,153593906
成交量排行,9,SNDQ,4.0,-0.19,-4.53%,147638072
成交量排行,10,ZYBT,8.01,7.312,1047.56%,146433590
成交量排行,11,KWM,0.1039,-0.02,-16.14%,129870545
成交量排行,12,MSTU,1.98,0.12,6.45%,117755065
成交量排行,13,ACHR,5.29,0.85,19.14%,98370081
成交量排行,14,IREN,40.2,6.58,19.57%,90275998
成交量排行,15,HL,14.3,-0.03,-0.21%,89465180
成交量排行,16,INTC,97.06,2.02,2.13%,89086242
成交量排行,17,NVDA,203.28,0.47,0.23%,87650546
成交量排行,18,T,21.985,0.175,0.80%,87474457
成交量排行,19,OPEN,4.445,-0.055,-1.22%,82433701
成交量排行,20,NOK,10.095,-0.025,-0.25%,81085548
