代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
CELUW,0.0019,0.0016,533.33%,0.0003,153976,2026-07-20
PSNYW,5.57,3.45,162.74%,2.12,2907670,2026-07-20
SLXNW,0.0497,0.0247,98.80%,0.025,1805,2026-07-20
BRLSW,0.0499,0.0244,95.69%,0.0255,203,2026-07-20
SDOT,25.3,11.05,77.54%,14.25,23601688,2026-07-20
ILLRW,0.0487,0.0207,73.93%,0.028,13032,2026-07-20
SLND,1.16,0.4787,70.26%,0.6813,202005715,2026-07-20
LIDRW,0.0197,0.0077,64.17%,0.012,48068,2026-07-20
NOEMW,0.16,0.06,60.00%,0.1,209735,2026-07-20
SLND+,0.034,0.0115,51.11%,0.0225,493857,2026-07-20
PBMWW,0.0297,0.0097,48.50%,0.02,15705,2026-07-20
PSQH+,0.0367,0.0119,47.98%,0.0248,7007,2026-07-20
ASTLW,0.0255,0.0081,46.55%,0.0174,247,2026-07-20
CJMB,1.22,0.359,41.70%,0.861,46780769,2026-07-20
CDIOW,0.0168,0.0048,40.00%,0.012,4471,2026-07-20
TNONW,0.0102,0.0028,37.84%,0.0074,200,2026-07-20
FGIWW,0.022,0.006,37.50%,0.016,12075,2026-07-20
BIYA,4.14,1.1,36.18%,3.04,22072198,2026-07-20
CCIXW,0.01,0.0025,33.33%,0.0075,740232,2026-07-20
BPACR,0.2,0.0494,32.80%,0.1506,826,2026-07-20
RNWWW,0.0015,-0.0018,-54.55%,0.0033,54019,2026-07-20
NEXRW,0.0136,-0.0153,-52.94%,0.0289,10500,2026-07-20
VIVK,2.26,-2.0,-46.95%,4.26,2366797,2026-07-20
STAK,1.92,-1.66,-46.37%,3.58,29159538,2026-07-20
RDACR,0.0851,-0.0649,-43.27%,0.15,42217,2026-07-20
BURU,0.0725,-0.0471,-39.38%,0.1196,39417291,2026-07-20
ACHR+,0.0343,-0.0176,-33.91%,0.0519,91272,2026-07-20
QMLS,14.28,-7.15,-33.36%,21.43,238579,2026-07-20
CYCU,0.316,-0.1534,-32.68%,0.4694,2419107,2026-07-20
EOSER,0.0192,-0.0091,-32.16%,0.0283,100833374,2026-07-20
TGHL,1.04,-0.48,-31.58%,1.52,5232514,2026-07-20
DSYWW,0.0158,-0.0072,-31.30%,0.023,6509,2026-07-20
BBLGW,9.95,-4.05,-28.93%,14.0,1,2026-07-20
CSAI,0.298,-0.1195,-28.62%,0.4175,2561505,2026-07-20
ISUL,12.27,-4.8999,-28.54%,17.1699,993861,2026-07-20
WZRD,2.485,-0.985,-28.39%,3.47,19553,2026-07-20
VGASW,0.0214,-0.0084,-28.19%,0.0298,35702,2026-07-20
BEATW,0.0235,-0.0092,-28.13%,0.0327,48648,2026-07-20
MTEKW,0.1511,-0.0589,-28.05%,0.21,2000,2026-07-20
MVSTW,0.0013,-0.0005,-27.78%,0.0018,310437,2026-07-20
BITO,8.695,-0.025,-0.29%,8.72,639634842,2026-07-20
SNDQ,4.22,0.31,7.93%,3.91,329003529,2026-07-20
ONDS,6.525,-0.125,-1.88%,6.65,214073430,2026-07-20
AAL,14.98,-0.62,-3.97%,15.6,176691169,2026-07-20
DFNS,0.042,-0.0073,-14.81%,0.0493,152158273,2026-07-20
SNXX,13.23,-1.25,-8.63%,14.48,148274535,2026-07-20
NVDA,202.81,-4.59,-2.21%,207.4,143409896,2026-07-20
NFLX,68.95,-5.4,-7.26%,74.35,141234882,2026-07-20
DRAM,52.66,0.32,0.61%,52.34,135445107,2026-07-20
INTC,95.04,-1.94,-2.00%,96.98,123788062,2026-07-20
NOK,10.11,-0.27,-2.60%,10.38,115511346,2026-07-20
NU,13.585,-0.205,-1.49%,13.79,112184304,2026-07-20
SOXS,54.92,2.9,5.57%,52.02,106683102,2026-07-20
OPEN,4.5,-0.07,-1.53%,4.57,106389674,2026-07-20
SOXL,135.1292,-7.3508,-5.16%,142.48,104481616,2026-07-20
PATH,12.15,0.12,1.00%,12.03,92252365,2026-07-20
JOBY,7.24,-0.1,-1.36%,7.34,90851648,2026-07-20
SOFI,17.28,-0.04,-0.23%,17.32,89721415,2026-07-20
