排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,CELUW,0.0019,0.0016,533.33%,153976
漲幅排行,2,PSNYW,5.57,3.45,162.74%,2907670
漲幅排行,3,SLXNW,0.0497,0.0247,98.80%,1805
漲幅排行,4,BRLSW,0.0499,0.0244,95.69%,203
漲幅排行,5,SDOT,25.3,11.05,77.54%,23601688
漲幅排行,6,ILLRW,0.0487,0.0207,73.93%,13032
漲幅排行,7,SLND,1.16,0.4787,70.26%,202005715
漲幅排行,8,LIDRW,0.0197,0.0077,64.17%,48068
漲幅排行,9,NOEMW,0.16,0.06,60.00%,209735
漲幅排行,10,SLND+,0.034,0.0115,51.11%,493857
漲幅排行,11,PBMWW,0.0297,0.0097,48.50%,15705
漲幅排行,12,PSQH+,0.0367,0.0119,47.98%,7007
漲幅排行,13,ASTLW,0.0255,0.0081,46.55%,247
漲幅排行,14,CJMB,1.22,0.359,41.70%,46780769
漲幅排行,15,CDIOW,0.0168,0.0048,40.00%,4471
漲幅排行,16,TNONW,0.0102,0.0028,37.84%,200
漲幅排行,17,FGIWW,0.022,0.006,37.50%,12075
漲幅排行,18,BIYA,4.14,1.1,36.18%,22072198
漲幅排行,19,CCIXW,0.01,0.0025,33.33%,740232
漲幅排行,20,BPACR,0.2,0.0494,32.80%,826
跌幅排行,1,RNWWW,0.0015,-0.0018,-54.55%,54019
跌幅排行,2,NEXRW,0.0136,-0.0153,-52.94%,10500
跌幅排行,3,VIVK,2.26,-2.0,-46.95%,2366797
跌幅排行,4,STAK,1.92,-1.66,-46.37%,29159538
跌幅排行,5,RDACR,0.0851,-0.0649,-43.27%,42217
跌幅排行,6,BURU,0.0725,-0.0471,-39.38%,39417291
跌幅排行,7,ACHR+,0.0343,-0.0176,-33.91%,91272
跌幅排行,8,QMLS,14.28,-7.15,-33.36%,238579
跌幅排行,9,CYCU,0.316,-0.1534,-32.68%,2419107
跌幅排行,10,EOSER,0.0192,-0.0091,-32.16%,100833374
跌幅排行,11,TGHL,1.04,-0.48,-31.58%,5232514
跌幅排行,12,DSYWW,0.0158,-0.0072,-31.30%,6509
跌幅排行,13,BBLGW,9.95,-4.05,-28.93%,1
跌幅排行,14,CSAI,0.298,-0.1195,-28.62%,2561505
跌幅排行,15,ISUL,12.27,-4.8999,-28.54%,993861
跌幅排行,16,WZRD,2.485,-0.985,-28.39%,19553
跌幅排行,17,VGASW,0.0214,-0.0084,-28.19%,35702
跌幅排行,18,BEATW,0.0235,-0.0092,-28.13%,48648
跌幅排行,19,MTEKW,0.1511,-0.0589,-28.05%,2000
跌幅排行,20,MVSTW,0.0013,-0.0005,-27.78%,310437
成交量排行,1,BITO,8.695,-0.025,-0.29%,639634842
成交量排行,2,SNDQ,4.22,0.31,7.93%,329003529
成交量排行,3,ONDS,6.525,-0.125,-1.88%,214073430
成交量排行,4,SLND,1.16,0.4787,70.26%,202005715
成交量排行,5,AAL,14.98,-0.62,-3.97%,176691169
成交量排行,6,DFNS,0.042,-0.0073,-14.81%,152158273
成交量排行,7,SNXX,13.23,-1.25,-8.63%,148274535
成交量排行,8,NVDA,202.81,-4.59,-2.21%,143409896
成交量排行,9,NFLX,68.95,-5.4,-7.26%,141234882
成交量排行,10,DRAM,52.66,0.32,0.61%,135445107
成交量排行,11,INTC,95.04,-1.94,-2.00%,123788062
成交量排行,12,NOK,10.11,-0.27,-2.60%,115511346
成交量排行,13,NU,13.585,-0.205,-1.49%,112184304
成交量排行,14,SOXS,54.92,2.9,5.57%,106683102
成交量排行,15,OPEN,4.5,-0.07,-1.53%,106389674
成交量排行,16,SOXL,135.1292,-7.3508,-5.16%,104481616
成交量排行,17,EOSER,0.0192,-0.0091,-32.16%,100833374
成交量排行,18,PATH,12.15,0.12,1.00%,92252365
成交量排行,19,JOBY,7.24,-0.1,-1.36%,90851648
成交量排行,20,SOFI,17.28,-0.04,-0.23%,89721415
