排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,EVLVW,0.0042,0.0029,223.08%,17226239
漲幅排行,2,RDACR,0.15,0.0699,87.27%,21692
漲幅排行,3,TGHL,1.52,0.7055,86.62%,136451451
漲幅排行,4,CCGWW,0.0253,0.0113,80.71%,23289
漲幅排行,5,APLMW,0.0195,0.0079,68.10%,62980
漲幅排行,6,STAK,3.58,1.45,68.08%,56806472
漲幅排行,7,ATPC,4.2,1.68,66.67%,39561052
漲幅排行,8,REVBW,0.01,0.0038,61.29%,2762
漲幅排行,9,DSYWW,0.023,0.0086,59.72%,26635
漲幅排行,10,DXST,2.99,0.91,43.75%,23944933
漲幅排行,11,ARCLR,0.24,0.072,42.86%,54
漲幅排行,12,LIMNW,0.07,0.02,40.00%,5684
漲幅排行,13,AIMDW,0.1479,0.0419,39.53%,7151
漲幅排行,14,IQST,1.22,0.3388,38.45%,136861387
漲幅排行,15,HUBCZ,0.0156,0.0043,38.05%,3336
漲幅排行,16,VEEE,36.18,9.59,36.07%,9896237
漲幅排行,17,CDNA,40.34,10.59,35.60%,4473915
漲幅排行,18,ASPSZ,0.2965,0.0772,35.20%,157730
漲幅排行,19,ASTN,8.47,2.14,33.81%,4718566
漲幅排行,20,ATAI,7.15,1.79,33.40%,165561594
跌幅排行,1,NVVE,8.38,-13.18,-61.13%,1520879
跌幅排行,2,SOBR,1.0,-1.07,-51.69%,11808222
跌幅排行,3,WGSWW,0.0006,-0.0006,-50.00%,53965
跌幅排行,4,KWMWW,0.0081,-0.0079,-49.38%,77969
跌幅排行,5,PLAG,0.9666,-0.8684,-47.32%,531975
跌幅排行,6,ASTLW,0.0174,-0.0125,-41.81%,27176
跌幅排行,7,ASUP,6.43,-3.92,-37.87%,84333
跌幅排行,8,ASTT,15.01,-8.848,-37.09%,1380
跌幅排行,9,ALP,0.2039,-0.1151,-36.08%,11047603
跌幅排行,10,DRMAW,0.008,-0.0044,-35.48%,44825
跌幅排行,11,STFS,10.1,-5.41,-34.88%,47178
跌幅排行,12,SATLW,0.411,-0.2162,-34.47%,21337
跌幅排行,13,ASTG,7.42,-3.89,-34.39%,59904
跌幅排行,14,ASTX,9.82,-5.1,-34.18%,14733267
跌幅排行,15,ASTY,5.4,-2.74,-33.66%,1066416
跌幅排行,16,FGIWW,0.016,-0.0081,-33.61%,61249
跌幅排行,17,CNEY,0.6688,-0.3312,-33.12%,2794946
跌幅排行,18,JOBY+,0.0813,-0.0388,-32.31%,258180
跌幅排行,19,VCIG,1.08,-0.51,-32.08%,579768
跌幅排行,20,JAGX,1.335,-0.615,-31.54%,169995
成交量排行,1,LIMN,0.1477,0.0332,29.00%,569355677
成交量排行,2,BITO,8.715,-0.085,-0.97%,552969819
成交量排行,3,SNDQ,3.905,0.775,24.76%,227018993
成交量排行,4,AAL,15.6,-0.03,-0.19%,190811548
成交量排行,5,NU,13.804,-0.076,-0.55%,181055840
成交量排行,6,ATAI,7.15,1.79,33.40%,165561594
成交量排行,7,EOSER,0.0283,-0.0009,-3.08%,156508784
成交量排行,8,OPEN,4.57,-0.18,-3.79%,143769052
成交量排行,9,NOK,10.37,-0.88,-7.82%,142224228
成交量排行,10,IQST,1.22,0.3388,38.45%,136861387
成交量排行,11,TGHL,1.52,0.7055,86.62%,136451451
成交量排行,12,NVDA,207.4,-5.1,-2.40%,120724916
成交量排行,13,SNXX,14.41,-4.89,-25.34%,114946847
成交量排行,14,ONDS,6.65,-0.4,-5.67%,108296190
成交量排行,15,INTC,96.98,-6.01,-5.84%,105848527
成交量排行,16,DRAM,52.395,-5.005,-8.72%,96897204
成交量排行,17,PATH,12.05,0.1,0.84%,96067703
成交量排行,18,NVD,4.75,0.2,4.40%,84194827
成交量排行,19,T,22.0,0.57,2.66%,83968445
成交量排行,20,MSTU,1.84,-0.14,-7.07%,77796391
