代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
LHSW,6.8,5.0,277.78%,1.8,100414372,2026-07-07
LUCYW,0.075,0.0499,198.80%,0.0251,49137,2026-07-07
FXHO,19.55,12.35,171.53%,7.2,8022791,2026-07-07
ERNAW,0.09,0.05,125.00%,0.04,3507,2026-07-07
ZCMD,2.24,1.13,101.80%,1.11,35896086,2026-07-07
IVDAW,0.0352,0.0151,75.12%,0.0201,66285,2026-07-07
BEATW,0.0299,0.0128,74.85%,0.0171,3393,2026-07-07
PEW+,0.51,0.2,64.52%,0.31,206408,2026-07-07
LUCY,1.24,0.48,63.16%,0.76,189181064,2026-07-07
RVSNW,0.0256,0.0096,60.00%,0.016,2006,2026-07-07
KIDZ,1.05,0.3701,54.43%,0.6799,185843048,2026-07-07
REVBW,0.0098,0.0034,53.12%,0.0064,5880,2026-07-07
APLMW,0.0196,0.0066,50.77%,0.013,460435,2026-07-07
INLF,6.38,2.06,47.69%,4.32,4792619,2026-07-07
DSX+,0.219,0.069,46.00%,0.15,18423,2026-07-07
FSHPR,0.1111,0.0311,38.88%,0.08,25688,2026-07-07
SBEV,0.202,0.056,38.36%,0.146,405832026,2026-07-07
SBCWW,0.29,0.0797,37.90%,0.2103,4701,2026-07-07
LVWR+,0.0218,0.0058,36.25%,0.016,69708,2026-07-07
SEER,2.19,0.57,35.19%,1.62,28947213,2026-07-07
SRXH,1.82,-3.6222,-66.56%,5.4422,11046051,2026-07-07
REE,0.0769,-0.1329,-63.35%,0.2098,9527269,2026-07-07
TE+,0.03,-0.0365,-54.89%,0.0665,729133,2026-07-07
MVO,0.8,-0.88,-52.38%,1.68,2391219,2026-07-07
RCKTW,0.003,-0.0032,-51.61%,0.0062,217353,2026-07-07
ALAR,3.08,-3.27,-51.50%,6.35,3916531,2026-07-07
JLHL,3.69,-3.53,-48.89%,7.22,3133998,2026-07-07
WLDSW,11.2,-9.3,-45.37%,20.5,48,2026-07-07
DFSCW,0.0202,-0.013,-39.16%,0.0332,1903,2026-07-07
EVLVW,0.0168,-0.0101,-37.55%,0.0269,581492,2026-07-07
JSPRW,0.0085,-0.005,-37.04%,0.0135,18962,2026-07-07
BRLSW,0.0369,-0.0201,-35.26%,0.057,2277,2026-07-07
ASBPW,0.02,-0.0099,-33.11%,0.0299,254,2026-07-07
SABSW,0.0105,-0.0044,-29.53%,0.0149,10869,2026-07-07
KTTAW,0.007,-0.0029,-29.29%,0.0099,6237,2026-07-07
LIDRW,0.0151,-0.006,-28.44%,0.0211,116943,2026-07-07
WHLR,0.7375,-0.2925,-28.40%,1.03,1618925,2026-07-07
BIYA,0.45,-0.1775,-28.29%,0.6275,4688516,2026-07-07
JEM,1.65,-0.65,-28.26%,2.3,4351447,2026-07-07
DSYWW,0.0202,-0.0078,-27.86%,0.028,49365,2026-07-07
SOXS,4.165,-0.345,-7.65%,4.51,528101802,2026-07-07
YHC,0.039,-0.0061,-13.53%,0.0451,430249565,2026-07-07
BITO,8.645,0.305,3.66%,8.34,360561775,2026-07-07
SPCX,160.42,-1.58,-0.98%,162.0,185382921,2026-07-07
TZA,3.86,-0.06,-1.53%,3.92,164506410,2026-07-07
AAL,17.75,-0.17,-0.95%,17.92,139833721,2026-07-07
MSTU,2.14,-0.01,-0.47%,2.15,108381780,2026-07-07
NVDA,195.55,0.72,0.37%,194.83,106371425,2026-07-07
T,20.585,0.005,0.02%,20.58,99575417,2026-07-07
OPEN,5.09,0.19,3.88%,4.9,87167445,2026-07-07
BMNU,0.8896,0.1193,15.49%,0.7703,87153503,2026-07-07
INTC,122.2,1.85,1.54%,120.35,85814794,2026-07-07
GRAB,3.85,-0.05,-1.28%,3.9,81515428,2026-07-07
SOFI,18.61,0.37,2.03%,18.24,80506261,2026-07-07
SNDQ,3.03,0.02,0.66%,3.01,75814605,2026-07-07
WULF,22.21,1.03,4.86%,21.18,74248475,2026-07-07
