排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,LHSW,6.8,5.0,277.78%,100414372
漲幅排行,2,LUCYW,0.075,0.0499,198.80%,49137
漲幅排行,3,FXHO,19.55,12.35,171.53%,8022791
漲幅排行,4,ERNAW,0.09,0.05,125.00%,3507
漲幅排行,5,ZCMD,2.24,1.13,101.80%,35896086
漲幅排行,6,IVDAW,0.0352,0.0151,75.12%,66285
漲幅排行,7,BEATW,0.0299,0.0128,74.85%,3393
漲幅排行,8,PEW+,0.51,0.2,64.52%,206408
漲幅排行,9,LUCY,1.24,0.48,63.16%,189181064
漲幅排行,10,RVSNW,0.0256,0.0096,60.00%,2006
漲幅排行,11,KIDZ,1.05,0.3701,54.43%,185843048
漲幅排行,12,REVBW,0.0098,0.0034,53.12%,5880
漲幅排行,13,APLMW,0.0196,0.0066,50.77%,460435
漲幅排行,14,INLF,6.38,2.06,47.69%,4792619
漲幅排行,15,DSX+,0.219,0.069,46.00%,18423
漲幅排行,16,FSHPR,0.1111,0.0311,38.88%,25688
漲幅排行,17,SBEV,0.202,0.056,38.36%,405832026
漲幅排行,18,SBCWW,0.29,0.0797,37.90%,4701
漲幅排行,19,LVWR+,0.0218,0.0058,36.25%,69708
漲幅排行,20,SEER,2.19,0.57,35.19%,28947213
跌幅排行,1,SRXH,1.82,-3.6222,-66.56%,11046051
跌幅排行,2,REE,0.0769,-0.1329,-63.35%,9527269
跌幅排行,3,TE+,0.03,-0.0365,-54.89%,729133
跌幅排行,4,MVO,0.8,-0.88,-52.38%,2391219
跌幅排行,5,RCKTW,0.003,-0.0032,-51.61%,217353
跌幅排行,6,ALAR,3.08,-3.27,-51.50%,3916531
跌幅排行,7,JLHL,3.69,-3.53,-48.89%,3133998
跌幅排行,8,WLDSW,11.2,-9.3,-45.37%,48
跌幅排行,9,DFSCW,0.0202,-0.013,-39.16%,1903
跌幅排行,10,EVLVW,0.0168,-0.0101,-37.55%,581492
跌幅排行,11,JSPRW,0.0085,-0.005,-37.04%,18962
跌幅排行,12,BRLSW,0.0369,-0.0201,-35.26%,2277
跌幅排行,13,ASBPW,0.02,-0.0099,-33.11%,254
跌幅排行,14,SABSW,0.0105,-0.0044,-29.53%,10869
跌幅排行,15,KTTAW,0.007,-0.0029,-29.29%,6237
跌幅排行,16,LIDRW,0.0151,-0.006,-28.44%,116943
跌幅排行,17,WHLR,0.7375,-0.2925,-28.40%,1618925
跌幅排行,18,BIYA,0.45,-0.1775,-28.29%,4688516
跌幅排行,19,JEM,1.65,-0.65,-28.26%,4351447
跌幅排行,20,DSYWW,0.0202,-0.0078,-27.86%,49365
成交量排行,1,SOXS,4.165,-0.345,-7.65%,528101802
成交量排行,2,YHC,0.039,-0.0061,-13.53%,430249565
成交量排行,3,SBEV,0.202,0.056,38.36%,405832026
成交量排行,4,BITO,8.645,0.305,3.66%,360561775
成交量排行,5,LUCY,1.24,0.48,63.16%,189181064
成交量排行,6,KIDZ,1.05,0.3701,54.43%,185843048
成交量排行,7,SPCX,160.42,-1.58,-0.98%,185382921
成交量排行,8,TZA,3.86,-0.06,-1.53%,164506410
成交量排行,9,AAL,17.75,-0.17,-0.95%,139833721
成交量排行,10,MSTU,2.14,-0.01,-0.47%,108381780
成交量排行,11,NVDA,195.55,0.72,0.37%,106371425
成交量排行,12,LHSW,6.8,5.0,277.78%,100414372
成交量排行,13,T,20.585,0.005,0.02%,99575417
成交量排行,14,OPEN,5.09,0.19,3.88%,87167445
成交量排行,15,BMNU,0.8896,0.1193,15.49%,87153503
成交量排行,16,INTC,122.2,1.85,1.54%,85814794
成交量排行,17,GRAB,3.85,-0.05,-1.28%,81515428
成交量排行,18,SOFI,18.61,0.37,2.03%,80506261
成交量排行,19,SNDQ,3.03,0.02,0.66%,75814605
成交量排行,20,WULF,22.21,1.03,4.86%,74248475
