代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
JTAI,3.14,2.6783,580.10%,0.4617,29747992,2026-07-16
MRNOW,0.0196,0.0095,94.06%,0.0101,127934,2026-07-16
CPHI,1.115,0.5002,81.36%,0.6148,68791722,2026-07-16
AIIA^,0.372,0.1622,77.31%,0.2098,18835,2026-07-16
SOBR,2.07,0.9,76.92%,1.17,170053106,2026-07-16
TWLVR,0.2,0.0799,66.53%,0.1201,1000,2026-07-16
BEATW,0.0327,0.0125,61.88%,0.0202,5190,2026-07-16
KWMWW,0.016,0.0054,50.94%,0.0106,3151,2026-07-16
ELVA,11.76,3.87,49.05%,7.89,29847338,2026-07-16
AEHG,10.2,3.01,41.86%,7.19,1509737,2026-07-16
LBGJ,1.83,0.52,39.69%,1.31,4195881,2026-07-16
FOXXW,0.0796,0.0213,36.54%,0.0583,10900,2026-07-16
NVVE,21.56,5.76,36.46%,15.8,5498967,2026-07-16
JLHL,10.75,2.85,36.08%,7.9,10485549,2026-07-16
PYPU,35.81,9.18,34.47%,26.63,65267,2026-07-16
PYPG,8.21,2.1,34.37%,6.11,5040474,2026-07-16
WAI,2.57,0.65,33.85%,1.92,1176716,2026-07-16
CNEY,1.0,0.25,33.33%,0.75,33268628,2026-07-16
TDWDR,0.17,0.0424,33.23%,0.1276,500,2026-07-16
CRACW,0.0599,0.0146,32.23%,0.0453,167,2026-07-16
CCIXW,0.009,-0.6262,-98.58%,0.6352,655566,2026-07-16
FGIWW,0.0241,-0.0659,-73.22%,0.09,53416,2026-07-16
CELUW,0.0003,-0.0008,-72.73%,0.0011,622558,2026-07-16
EVLVW,0.0013,-0.0015,-53.57%,0.0028,2856499,2026-07-16
QTEXW,0.0112,-0.0098,-46.67%,0.021,106977,2026-07-16
ILLR,1.28,-1.03,-44.59%,2.31,1563398,2026-07-16
SNTI,0.5833,-0.3842,-39.71%,0.9675,2578522,2026-07-16
SNWV,7.27,-4.69,-39.21%,11.96,2102895,2026-07-16
SRZNW,0.0066,-0.0033,-33.33%,0.0099,148042,2026-07-16
CRDF,0.8893,-0.4207,-32.11%,1.31,12617547,2026-07-16
VEEE,26.59,-11.92,-30.95%,38.51,7276115,2026-07-16
GIBOW,0.0172,-0.0076,-30.65%,0.0248,800,2026-07-16
DAICW,0.0072,-0.003,-29.41%,0.0102,13209,2026-07-16
AIMDW,0.106,-0.044,-29.33%,0.15,4155,2026-07-16
GRRR,11.89,-4.88,-29.10%,16.77,7383046,2026-07-16
ENGNW,0.21,-0.08,-27.59%,0.29,101,2026-07-16
EOSER,0.0292,-0.0108,-27.00%,0.04,64795524,2026-07-16
SWAGW,0.022,-0.008,-26.67%,0.03,454,2026-07-16
AAOG,3.51,-1.25,-26.26%,4.76,1688240,2026-07-16
AAOX,15.74,-5.52,-25.96%,21.26,6770047,2026-07-16
BITO,8.805,0.055,0.63%,8.75,496221820,2026-07-16
SNDQ,3.125,0.445,16.60%,2.68,200376620,2026-07-16
AAL,15.63,-0.04,-0.26%,15.67,181391518,2026-07-16
NU,13.89,-0.1,-0.71%,13.99,180019130,2026-07-16
PMI,0.1492,0.0092,6.57%,0.14,131208379,2026-07-16
ONDS,7.05,-0.31,-4.21%,7.36,130940836,2026-07-16
PATH,11.95,0.01,0.08%,11.94,126625767,2026-07-16
NVDA,212.5,0.7,0.33%,211.8,122986825,2026-07-16
INTC,102.99,-4.77,-4.43%,107.76,119665944,2026-07-16
OPEN,4.75,0.2,4.40%,4.55,115182876,2026-07-16
NOK,11.24,-0.46,-3.93%,11.7,114156104,2026-07-16
SNXX,19.26,-3.67,-16.01%,22.93,114100255,2026-07-16
VIVS,0.8529,0.0181,2.17%,0.8348,113160547,2026-07-16
LIMN,0.1145,0.011,10.63%,0.1035,104282767,2026-07-16
DRAM,57.36,-3.87,-6.32%,61.23,90845662,2026-07-16
PYPL,55.511,8.141,17.19%,47.37,89857710,2026-07-16
NVD,4.55,-0.02,-0.44%,4.57,84674054,2026-07-16
KUST,1.31,0.3,29.70%,1.01,84189962,2026-07-16
MSTU,1.975,-0.005,-0.25%,1.98,82746780,2026-07-16
