排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,JTAI,3.14,2.6783,580.10%,29747992
漲幅排行,2,MRNOW,0.0196,0.0095,94.06%,127934
漲幅排行,3,CPHI,1.115,0.5002,81.36%,68791722
漲幅排行,4,AIIA^,0.372,0.1622,77.31%,18835
漲幅排行,5,SOBR,2.07,0.9,76.92%,170053106
漲幅排行,6,TWLVR,0.2,0.0799,66.53%,1000
漲幅排行,7,BEATW,0.0327,0.0125,61.88%,5190
漲幅排行,8,KWMWW,0.016,0.0054,50.94%,3151
漲幅排行,9,ELVA,11.76,3.87,49.05%,29847338
漲幅排行,10,AEHG,10.2,3.01,41.86%,1509737
漲幅排行,11,LBGJ,1.83,0.52,39.69%,4195881
漲幅排行,12,FOXXW,0.0796,0.0213,36.54%,10900
漲幅排行,13,NVVE,21.56,5.76,36.46%,5498967
漲幅排行,14,JLHL,10.75,2.85,36.08%,10485549
漲幅排行,15,PYPU,35.81,9.18,34.47%,65267
漲幅排行,16,PYPG,8.21,2.1,34.37%,5040474
漲幅排行,17,WAI,2.57,0.65,33.85%,1176716
漲幅排行,18,CNEY,1.0,0.25,33.33%,33268628
漲幅排行,19,TDWDR,0.17,0.0424,33.23%,500
漲幅排行,20,CRACW,0.0599,0.0146,32.23%,167
跌幅排行,1,CCIXW,0.009,-0.6262,-98.58%,655566
跌幅排行,2,FGIWW,0.0241,-0.0659,-73.22%,53416
跌幅排行,3,CELUW,0.0003,-0.0008,-72.73%,622558
跌幅排行,4,EVLVW,0.0013,-0.0015,-53.57%,2856499
跌幅排行,5,QTEXW,0.0112,-0.0098,-46.67%,106977
跌幅排行,6,ILLR,1.28,-1.03,-44.59%,1563398
跌幅排行,7,SNTI,0.5833,-0.3842,-39.71%,2578522
跌幅排行,8,SNWV,7.27,-4.69,-39.21%,2102895
跌幅排行,9,SRZNW,0.0066,-0.0033,-33.33%,148042
跌幅排行,10,CRDF,0.8893,-0.4207,-32.11%,12617547
跌幅排行,11,VEEE,26.59,-11.92,-30.95%,7276115
跌幅排行,12,GIBOW,0.0172,-0.0076,-30.65%,800
跌幅排行,13,DAICW,0.0072,-0.003,-29.41%,13209
跌幅排行,14,AIMDW,0.106,-0.044,-29.33%,4155
跌幅排行,15,GRRR,11.89,-4.88,-29.10%,7383046
跌幅排行,16,ENGNW,0.21,-0.08,-27.59%,101
跌幅排行,17,EOSER,0.0292,-0.0108,-27.00%,64795524
跌幅排行,18,SWAGW,0.022,-0.008,-26.67%,454
跌幅排行,19,AAOG,3.51,-1.25,-26.26%,1688240
跌幅排行,20,AAOX,15.74,-5.52,-25.96%,6770047
成交量排行,1,BITO,8.805,0.055,0.63%,496221820
成交量排行,2,SNDQ,3.125,0.445,16.60%,200376620
成交量排行,3,AAL,15.63,-0.04,-0.26%,181391518
成交量排行,4,NU,13.89,-0.1,-0.71%,180019130
成交量排行,5,SOBR,2.07,0.9,76.92%,170053106
成交量排行,6,PMI,0.1492,0.0092,6.57%,131208379
成交量排行,7,ONDS,7.05,-0.31,-4.21%,130940836
成交量排行,8,PATH,11.95,0.01,0.08%,126625767
成交量排行,9,NVDA,212.5,0.7,0.33%,122986825
成交量排行,10,INTC,102.99,-4.77,-4.43%,119665944
成交量排行,11,OPEN,4.75,0.2,4.40%,115182876
成交量排行,12,NOK,11.24,-0.46,-3.93%,114156104
成交量排行,13,SNXX,19.26,-3.67,-16.01%,114100255
成交量排行,14,VIVS,0.8529,0.0181,2.17%,113160547
成交量排行,15,LIMN,0.1145,0.011,10.63%,104282767
成交量排行,16,DRAM,57.36,-3.87,-6.32%,90845662
成交量排行,17,PYPL,55.511,8.141,17.19%,89857710
成交量排行,18,NVD,4.55,-0.02,-0.44%,84674054
成交量排行,19,KUST,1.31,0.3,29.70%,84189962
成交量排行,20,MSTU,1.975,-0.005,-0.25%,82746780
