代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
SORNW,0.5689,0.3187,127.38%,0.2502,28,2026-07-09
GTERW,0.097,0.046,90.20%,0.051,1736,2026-07-09
VTAK,1.35,0.6373,89.42%,0.7127,190108780,2026-07-09
ERNAW,0.1084,0.051,88.85%,0.0574,1065,2026-07-09
QTEXW,0.049,0.0196,66.67%,0.0294,3487,2026-07-09
RDACR,0.14,0.0555,65.68%,0.0845,34,2026-07-09
ILLRW,0.0445,0.0174,64.21%,0.0271,48146,2026-07-09
NVVE,8.49,3.3,63.58%,5.19,37466725,2026-07-09
TVRD,5.0,1.9,61.29%,3.1,37825251,2026-07-09
ANSCW,0.1576,0.0588,59.51%,0.0988,1,2026-07-09
GLU-A,78.99,27.49,53.38%,51.5,7212,2026-07-09
WGSWW,0.003,0.001,50.00%,0.002,1063,2026-07-09
BZFDW,0.0242,0.0078,47.56%,0.0164,5545,2026-07-09
BTBDW,0.0597,0.0192,47.41%,0.0405,206,2026-07-09
SRXH,1.985,0.635,47.04%,1.35,56422684,2026-07-09
CDTTW,0.0158,0.0049,44.95%,0.0109,200,2026-07-09
FRTT,1.3,0.396,43.81%,0.904,11983044,2026-07-09
AMPGR,1.57,0.47,42.73%,1.1,19788,2026-07-09
IOTR,3.54,1.03,41.04%,2.51,24340991,2026-07-09
RVSNW,0.0219,0.0059,36.88%,0.016,406,2026-07-09
TE+,0.0041,-0.0058,-58.59%,0.0099,178741,2026-07-09
EVLVW,0.0064,-0.0065,-50.39%,0.0129,1309808,2026-07-09
FGIWW,0.1501,-0.1499,-49.97%,0.3,14920,2026-07-09
SDOT,20.31,-19.69,-49.23%,40.0,3582514,2026-07-09
CELUW,0.0027,-0.0023,-46.00%,0.005,108919,2026-07-09
NRSNW,0.0702,-0.0568,-44.72%,0.127,16,2026-07-09
RSVRW,0.1,-0.0695,-41.00%,0.1695,307,2026-07-09
SRZNW,0.01,-0.0068,-40.48%,0.0168,110,2026-07-09
SEATW,0.026,-0.0148,-36.27%,0.0408,11383,2026-07-09
EOSER,0.05,-0.027,-35.06%,0.077,58228414,2026-07-09
MRNOW,0.01,-0.005,-33.33%,0.015,12321,2026-07-09
ONFOW,0.0162,-0.008,-33.06%,0.0242,572370,2026-07-09
ZBAO,0.2911,-0.1431,-32.96%,0.4342,768311,2026-07-09
CPOP,0.07,-0.0319,-31.31%,0.1019,78292688,2026-07-09
YDESW,0.2201,-0.0999,-31.22%,0.32,8540,2026-07-09
SABSW,0.0116,-0.0052,-30.95%,0.0168,326252,2026-07-09
ESLAW,0.1,-0.0424,-29.78%,0.1424,8009,2026-07-09
JLHL,3.06,-1.26,-29.17%,4.32,696940,2026-07-09
CMMB,1.97,-0.8,-28.88%,2.77,2184964,2026-07-09
ONFO,0.2805,-0.1135,-28.81%,0.394,139329278,2026-07-09
SOXS,4.51,-0.29,-6.04%,4.8,829906808,2026-07-09
EDBL,0.116,0.0283,32.27%,0.0877,466010923,2026-07-09
TZA,4.075,0.105,2.64%,3.97,338540483,2026-07-09
BITO,8.445,-0.205,-2.37%,8.65,273096965,2026-07-09
SNDQ,2.99,-0.47,-13.58%,3.46,176981324,2026-07-09
AAL,16.52,-0.68,-3.95%,17.2,175735764,2026-07-09
NVDA,204.12,7.19,3.65%,196.93,145821643,2026-07-09
BATL,1.63,-0.15,-8.43%,1.78,136629675,2026-07-09
RIVN,16.66,0.17,1.03%,16.49,110638457,2026-07-09
INTC,110.24,-0.15,-0.14%,110.39,103505318,2026-07-09
OPEN,4.79,0.0,0.00%,0.0,101864876,2026-07-09
SOFI,17.73,-0.02,-0.11%,17.75,89931053,2026-07-09
NVD,4.98,-0.4,-7.43%,5.38,81658062,2026-07-09
AMC,1.905,0.185,10.76%,1.72,78138935,2026-07-09
BIYA,0.513,0.1,24.21%,0.413,77379260,2026-07-09
TQQQ,72.72,0.49,0.68%,72.23,69551376,2026-07-09
DRAM,61.94,1.35,2.23%,60.59,68071060,2026-07-09
