代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
VEEE,24.86,20.04,415.77%,4.82,71446666,2026-07-14
SOBR,1.1913,0.7577,174.75%,0.4336,259733063,2026-07-14
QTTB,21.38,10.17,90.72%,11.21,27593205,2026-07-14
AGEN,6.12,2.77,82.69%,3.35,173289908,2026-07-14
XBPEW,0.065,0.0249,62.09%,0.0401,25,2026-07-14
SABSW,0.0179,0.0059,49.17%,0.012,68950,2026-07-14
FTRK,0.5931,0.1947,48.87%,0.3984,153316264,2026-07-14
GIBOW,0.0248,0.0081,48.50%,0.0167,654,2026-07-14
LAFAR,0.168,0.048,40.00%,0.12,1566,2026-07-14
MIMI,2.96,0.83,38.97%,2.13,45033115,2026-07-14
ILLRW,0.0498,0.0137,37.95%,0.0361,311,2026-07-14
BRRWW,0.29,0.0797,37.90%,0.2103,1158,2026-07-14
SWVLW,0.0097,0.0026,36.62%,0.0071,3415,2026-07-14
HDRNW,0.1589,0.0419,35.81%,0.117,29260,2026-07-14
SLMT,6.63,1.74,35.58%,4.89,443235,2026-07-14
EDBLW,0.0446,0.0115,34.74%,0.0331,13952,2026-07-14
ASPCR,0.1425,0.0324,29.43%,0.1101,542,2026-07-14
EHGO,2.12,0.48,29.27%,1.64,28769605,2026-07-14
YDESW,0.2561,0.0559,27.92%,0.2002,2631,2026-07-14
ONFOW,0.0129,0.0028,27.72%,0.0101,8399,2026-07-14
QTEXW,0.0241,-0.0427,-63.92%,0.0668,114107,2026-07-14
NVNIW,0.0247,-0.0377,-60.42%,0.0624,62646,2026-07-14
LCFYW,4.62,-6.77,-59.44%,11.39,3413,2026-07-14
BNBX,0.163,-0.2139,-56.75%,0.3769,4656469,2026-07-14
MRNOW,0.0089,-0.0101,-53.16%,0.019,148637,2026-07-14
CELUW,0.0016,-0.0018,-52.94%,0.0034,19376,2026-07-14
ASTLW,0.019,-0.016,-45.71%,0.035,27152,2026-07-14
GGROW,0.0043,-0.0035,-44.87%,0.0078,1900,2026-07-14
VLN+,0.0222,-0.0174,-43.94%,0.0396,7046,2026-07-14
MVSTW,0.002,-0.0015,-42.86%,0.0035,147854,2026-07-14
FACWW,0.8,-0.58,-42.03%,1.38,402393,2026-07-14
DWSN,4.42,-3.15,-41.61%,7.57,1355507,2026-07-14
DFSCW,0.0221,-0.0153,-40.91%,0.0374,21388,2026-07-14
BGLWW,0.06,-0.0389,-39.33%,0.0989,9639,2026-07-14
FGIWW,0.0381,-0.0219,-36.50%,0.06,10233,2026-07-14
FAC,6.0,-3.32,-35.62%,9.32,4082711,2026-07-14
CRACW,0.0453,-0.0239,-34.54%,0.0692,43,2026-07-14
AEON,0.3175,-0.1656,-34.28%,0.4831,556666,2026-07-14
VEEAW,0.041,-0.0213,-34.19%,0.0623,2138,2026-07-14
FOXXW,0.0562,-0.0288,-33.88%,0.085,1340,2026-07-14
SOXS,4.665,0.585,14.34%,4.08,598946434,2026-07-14
BITO,8.435,-0.235,-2.71%,8.67,277225810,2026-07-14
TZA,4.09,0.1,2.51%,3.99,199883480,2026-07-14
SNDQ,2.985,0.61,25.68%,2.375,172660748,2026-07-14
AAL,16.31,-0.64,-3.78%,16.95,152668186,2026-07-14
ELPW,0.369,0.069,23.00%,0.3,147978021,2026-07-14
NU,13.69,-0.07,-0.51%,13.76,133013949,2026-07-14
NVDA,203.5284,-7.4316,-3.52%,210.96,120184359,2026-07-14
ONDS,6.96,-0.3,-4.13%,7.26,107005133,2026-07-14
NOK,11.67,-0.77,-6.19%,12.44,103438334,2026-07-14
INTC,103.12,-6.72,-6.12%,109.84,99408938,2026-07-14
SOFI,18.13,-0.65,-3.46%,18.78,97250512,2026-07-14
PATH,11.86,0.18,1.54%,11.68,90793690,2026-07-14
LGPS,0.997,0.1661,19.99%,0.8309,87457316,2026-07-14
DRAM,57.21,-5.83,-9.25%,63.04,77671347,2026-07-14
SPCX,139.14,-6.16,-4.24%,145.3,70836642,2026-07-14
