排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,VEEE,24.86,20.04,415.77%,71446666
漲幅排行,2,SOBR,1.1913,0.7577,174.75%,259733063
漲幅排行,3,QTTB,21.38,10.17,90.72%,27593205
漲幅排行,4,AGEN,6.12,2.77,82.69%,173289908
漲幅排行,5,XBPEW,0.065,0.0249,62.09%,25
漲幅排行,6,SABSW,0.0179,0.0059,49.17%,68950
漲幅排行,7,FTRK,0.5931,0.1947,48.87%,153316264
漲幅排行,8,GIBOW,0.0248,0.0081,48.50%,654
漲幅排行,9,LAFAR,0.168,0.048,40.00%,1566
漲幅排行,10,MIMI,2.96,0.83,38.97%,45033115
漲幅排行,11,ILLRW,0.0498,0.0137,37.95%,311
漲幅排行,12,BRRWW,0.29,0.0797,37.90%,1158
漲幅排行,13,SWVLW,0.0097,0.0026,36.62%,3415
漲幅排行,14,HDRNW,0.1589,0.0419,35.81%,29260
漲幅排行,15,SLMT,6.63,1.74,35.58%,443235
漲幅排行,16,EDBLW,0.0446,0.0115,34.74%,13952
漲幅排行,17,ASPCR,0.1425,0.0324,29.43%,542
漲幅排行,18,EHGO,2.12,0.48,29.27%,28769605
漲幅排行,19,YDESW,0.2561,0.0559,27.92%,2631
漲幅排行,20,ONFOW,0.0129,0.0028,27.72%,8399
跌幅排行,1,QTEXW,0.0241,-0.0427,-63.92%,114107
跌幅排行,2,NVNIW,0.0247,-0.0377,-60.42%,62646
跌幅排行,3,LCFYW,4.62,-6.77,-59.44%,3413
跌幅排行,4,BNBX,0.163,-0.2139,-56.75%,4656469
跌幅排行,5,MRNOW,0.0089,-0.0101,-53.16%,148637
跌幅排行,6,CELUW,0.0016,-0.0018,-52.94%,19376
跌幅排行,7,ASTLW,0.019,-0.016,-45.71%,27152
跌幅排行,8,GGROW,0.0043,-0.0035,-44.87%,1900
跌幅排行,9,VLN+,0.0222,-0.0174,-43.94%,7046
跌幅排行,10,MVSTW,0.002,-0.0015,-42.86%,147854
跌幅排行,11,FACWW,0.8,-0.58,-42.03%,402393
跌幅排行,12,DWSN,4.42,-3.15,-41.61%,1355507
跌幅排行,13,DFSCW,0.0221,-0.0153,-40.91%,21388
跌幅排行,14,BGLWW,0.06,-0.0389,-39.33%,9639
跌幅排行,15,FGIWW,0.0381,-0.0219,-36.50%,10233
跌幅排行,16,FAC,6.0,-3.32,-35.62%,4082711
跌幅排行,17,CRACW,0.0453,-0.0239,-34.54%,43
跌幅排行,18,AEON,0.3175,-0.1656,-34.28%,556666
跌幅排行,19,VEEAW,0.041,-0.0213,-34.19%,2138
跌幅排行,20,FOXXW,0.0562,-0.0288,-33.88%,1340
成交量排行,1,SOXS,4.665,0.585,14.34%,598946434
成交量排行,2,BITO,8.435,-0.235,-2.71%,277225810
成交量排行,3,SOBR,1.1913,0.7577,174.75%,259733063
成交量排行,4,TZA,4.09,0.1,2.51%,199883480
成交量排行,5,AGEN,6.12,2.77,82.69%,173289908
成交量排行,6,SNDQ,2.985,0.61,25.68%,172660748
成交量排行,7,FTRK,0.5931,0.1947,48.87%,153316264
成交量排行,8,AAL,16.31,-0.64,-3.78%,152668186
成交量排行,9,ELPW,0.369,0.069,23.00%,147978021
成交量排行,10,NU,13.69,-0.07,-0.51%,133013949
成交量排行,11,NVDA,203.5284,-7.4316,-3.52%,120184359
成交量排行,12,ONDS,6.96,-0.3,-4.13%,107005133
成交量排行,13,NOK,11.67,-0.77,-6.19%,103438334
成交量排行,14,INTC,103.12,-6.72,-6.12%,99408938
成交量排行,15,SOFI,18.13,-0.65,-3.46%,97250512
成交量排行,16,PATH,11.86,0.18,1.54%,90793690
成交量排行,17,LGPS,0.997,0.1661,19.99%,87457316
成交量排行,18,DRAM,57.21,-5.83,-9.25%,77671347
成交量排行,19,VEEE,24.86,20.04,415.77%,71446666
成交量排行,20,SPCX,139.14,-6.16,-4.24%,70836642
