代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
CPHI,8.62,7.71,847.25%,0.91,83392154,2026-07-22
OMH,0.8061,0.5563,222.70%,0.2498,292420383,2026-07-22
SLGB,0.9799,0.4708,92.48%,0.5091,179521276,2026-07-22
UTZ,14.09,6.64,89.13%,7.45,61795542,2026-07-22
DMAAR,0.1699,0.0794,87.73%,0.0905,671086,2026-07-22
WLDSW,14.95,6.8,83.44%,8.15,1,2026-07-22
JZXN,1.93,0.78,67.83%,1.15,32836420,2026-07-22
BFRIW,0.0351,0.0131,59.55%,0.022,1983,2026-07-22
GTERW,0.0949,0.0343,56.60%,0.0606,54,2026-07-22
AEHG,12.275,4.365,55.18%,7.91,791830,2026-07-22
KWMWW,0.0124,0.0044,55.00%,0.008,1215,2026-07-22
DFNS,6.57,2.31,54.23%,4.26,20296835,2026-07-22
SWVLW,0.0096,0.0033,52.38%,0.0063,5599,2026-07-22
NIPG,7.15,2.41,50.84%,4.74,154856,2026-07-22
VIVK,2.58,0.85,49.13%,1.73,138536728,2026-07-22
NXGLW,0.0308,0.0097,45.97%,0.0211,106,2026-07-22
SWAGW,0.0218,0.0067,44.37%,0.0151,1000,2026-07-22
IVDAW,0.0327,0.0097,42.17%,0.023,24548,2026-07-22
NEBX,31.68,8.76,38.22%,22.92,3051094,2026-07-22
KTTAW,0.0098,0.0027,38.03%,0.0071,2508,2026-07-22
WGSWW,0.0002,-0.001,-83.33%,0.0012,1665188,2026-07-22
LBGJ,0.0599,-0.1624,-73.05%,0.2223,151726273,2026-07-22
CIGL,0.559,-1.431,-71.91%,1.99,242966,2026-07-22
ZYBT,2.85,-5.16,-64.42%,8.01,37259870,2026-07-22
NEXRW,0.0142,-0.0147,-50.87%,0.0289,1300,2026-07-22
GIPRW,0.0231,-0.0187,-44.74%,0.0418,400,2026-07-22
SABSW,0.0112,-0.0085,-43.15%,0.0197,77884,2026-07-22
SMXWW,0.0149,-0.0097,-39.43%,0.0246,17240,2026-07-22
NBIZ,22.75,-13.76,-37.69%,36.51,2390654,2026-07-22
RNWWW,0.0017,-0.001,-37.04%,0.0027,212459,2026-07-22
SES+,0.0126,-0.0074,-37.00%,0.02,18837,2026-07-22
NRSNW,0.0811,-0.0476,-36.99%,0.1287,406,2026-07-22
LSTA,2.24,-1.285,-36.45%,3.525,557721,2026-07-22
CBRZ,14.9,-8.52,-36.38%,23.42,397578,2026-07-22
VSEEW,0.0206,-0.0113,-35.42%,0.0319,10700,2026-07-22
MWC,1.11,-0.58,-34.32%,1.69,3421628,2026-07-22
MTEKW,0.1381,-0.0719,-34.24%,0.21,1200,2026-07-22
RSVRW,0.021,-0.01,-32.26%,0.031,20460,2026-07-22
SORNW,0.25,-0.1166,-31.81%,0.3666,1592,2026-07-22
HQWWW,6.0,-2.7,-31.03%,8.7,98431,2026-07-22
BITO,9.005,0.185,2.10%,8.82,442926125,2026-07-22
JUNS,0.1697,0.0047,2.85%,0.165,346007800,2026-07-22
ONDS,7.66,0.79,11.50%,6.87,282558872,2026-07-22
KIDZ,0.56,0.1479,35.89%,0.4121,271860497,2026-07-22
PATH,12.035,-0.125,-1.03%,12.16,176761527,2026-07-22
NU,14.375,0.385,2.75%,13.99,145851972,2026-07-22
T,22.275,0.325,1.48%,21.95,139133723,2026-07-22
MSTU,2.145,0.165,8.33%,1.98,129633336,2026-07-22
NVDA,207.29,4.01,1.97%,203.28,106469023,2026-07-22
INTC,105.45,8.39,8.64%,97.06,102096662,2026-07-22
MARA,12.25,0.58,4.97%,11.67,97798398,2026-07-22
NOK,10.65,0.57,5.65%,10.08,97114720,2026-07-22
AAL,15.28,0.14,0.92%,15.14,90771061,2026-07-22
AMC,2.22,-0.24,-9.76%,2.46,85696542,2026-07-22
SOFI,17.64,0.63,3.70%,17.01,84696032,2026-07-22
