代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
FGIWW,0.3299,0.3079,1399.55%,0.022,1130167,2026-07-24
SBFMW,0.0611,0.0299,95.83%,0.0312,25861,2026-07-24
LGCL,1.76,0.8085,84.97%,0.9515,62294113,2026-07-24
SAIHW,0.0472,0.0208,78.79%,0.0264,746,2026-07-24
SLXNW,0.05,0.0198,65.56%,0.0302,1289800,2026-07-24
HUBCZ,0.0182,0.0072,65.45%,0.011,666,2026-07-24
NVEC,134.21,47.53,54.83%,86.68,809633,2026-07-24
EHGO,2.71,0.95,53.98%,1.76,79506348,2026-07-24
PAVS,5.91,2.03,52.32%,3.88,16266497,2026-07-24
LIMNW,0.0814,0.0279,52.15%,0.0535,8504,2026-07-24
RVSNW,0.0258,0.0088,51.76%,0.017,10440,2026-07-24
WLDS,2.23,0.75,50.68%,1.48,25066289,2026-07-24
WBUY,1.12,0.362,47.76%,0.758,172893731,2026-07-24
CCIXW,0.0164,0.0053,47.75%,0.0111,387456,2026-07-24
MNTSW,0.013,0.0039,42.86%,0.0091,448624,2026-07-24
CJMB,2.35,0.67,39.88%,1.68,31679352,2026-07-24
VSEEW,0.0287,0.0081,39.32%,0.0206,1,2026-07-24
ADVB,16.78,4.53,36.98%,12.25,11748595,2026-07-24
SKYQ,5.64,1.51,36.56%,4.13,33473553,2026-07-24
LUCYW,0.065,0.0174,36.55%,0.0476,320,2026-07-24
SXTC,0.3326,-1.6874,-83.53%,2.02,59165440,2026-07-24
ASTLW,0.0038,-0.0063,-62.38%,0.0101,3001,2026-07-24
ZCMD,1.73,-2.56,-59.67%,4.29,29022609,2026-07-24
MTEKW,0.1111,-0.0989,-47.10%,0.21,7716,2026-07-24
LESL,1.33,-1.08,-44.81%,2.41,2071338,2026-07-24
NVVE,3.23,-2.56,-44.21%,5.79,11539707,2026-07-24
CISS,0.962,-0.668,-40.98%,1.63,843150,2026-07-24
ORIQW,0.1116,-0.0744,-40.00%,0.186,910,2026-07-24
XBPEW,0.0406,-0.0243,-37.44%,0.0649,800,2026-07-24
PSQH+,0.0232,-0.0135,-36.78%,0.0367,6601,2026-07-24
TMCWW,0.0422,-0.0229,-35.18%,0.0651,75588,2026-07-24
RSVRW,0.014,-0.007,-33.33%,0.021,27538,2026-07-24
ALVOW,0.15,-0.0699,-31.79%,0.2199,11599,2026-07-24
DFLIW,0.035,-0.015,-30.00%,0.05,4011,2026-07-24
TSLT,10.84,-4.51,-29.38%,15.35,6400738,2026-07-24
TSLL,7.76,-3.2,-29.20%,10.96,209340164,2026-07-24
TSLG,3.86,-1.59,-29.17%,5.45,39063381,2026-07-24
TSLR,13.365,-5.465,-29.02%,18.83,2685033,2026-07-24
TSLI,14.52,-5.92,-28.96%,20.44,119476,2026-07-24
GRABW,0.02,-0.008,-28.57%,0.028,72416,2026-07-24
LBGJ,0.0312,-0.0033,-9.57%,0.0345,250845886,2026-07-24
NOK,9.73,-0.55,-5.35%,10.28,181058797,2026-07-24
NU,14.19,-0.32,-2.21%,14.51,180320387,2026-07-24
BITO,8.78,-0.17,-1.90%,8.95,167446418,2026-07-24
AAL,13.555,-1.235,-8.35%,14.79,121288878,2026-07-24
TSLA,319.69,-54.32,-14.52%,374.01,114296422,2026-07-24
INTC,100.23,-2.39,-2.33%,102.62,112047245,2026-07-24
NVDA,208.76,-3.3,-1.56%,212.06,109608920,2026-07-24
T,22.94,-0.1,-0.43%,23.04,103077652,2026-07-24
MSTU,1.7935,-0.2715,-13.15%,2.065,95478659,2026-07-24
AEHL,0.7166,0.1598,28.70%,0.5568,94692932,2026-07-24
OPEN,3.845,-0.535,-12.21%,4.38,85961380,2026-07-24
ONDS,7.93,-0.07,-0.88%,8.0,85681756,2026-07-24
NVD,4.68,0.14,3.08%,4.54,85059796,2026-07-24
SMCI,31.2,0.64,2.09%,30.56,84004179,2026-07-24
SNXX,18.34,0.32,1.78%,18.02,82031674,2026-07-24
TQQQ,66.3,-3.98,-5.66%,70.28,78108810,2026-07-24
