排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,FGIWW,0.3299,0.3079,1399.55%,1130167
漲幅排行,2,SBFMW,0.0611,0.0299,95.83%,25861
漲幅排行,3,LGCL,1.76,0.8085,84.97%,62294113
漲幅排行,4,SAIHW,0.0472,0.0208,78.79%,746
漲幅排行,5,SLXNW,0.05,0.0198,65.56%,1289800
漲幅排行,6,HUBCZ,0.0182,0.0072,65.45%,666
漲幅排行,7,NVEC,134.21,47.53,54.83%,809633
漲幅排行,8,EHGO,2.71,0.95,53.98%,79506348
漲幅排行,9,PAVS,5.91,2.03,52.32%,16266497
漲幅排行,10,LIMNW,0.0814,0.0279,52.15%,8504
漲幅排行,11,RVSNW,0.0258,0.0088,51.76%,10440
漲幅排行,12,WLDS,2.23,0.75,50.68%,25066289
漲幅排行,13,WBUY,1.12,0.362,47.76%,172893731
漲幅排行,14,CCIXW,0.0164,0.0053,47.75%,387456
漲幅排行,15,MNTSW,0.013,0.0039,42.86%,448624
漲幅排行,16,CJMB,2.35,0.67,39.88%,31679352
漲幅排行,17,VSEEW,0.0287,0.0081,39.32%,1
漲幅排行,18,ADVB,16.78,4.53,36.98%,11748595
漲幅排行,19,SKYQ,5.64,1.51,36.56%,33473553
漲幅排行,20,LUCYW,0.065,0.0174,36.55%,320
跌幅排行,1,SXTC,0.3326,-1.6874,-83.53%,59165440
跌幅排行,2,ASTLW,0.0038,-0.0063,-62.38%,3001
跌幅排行,3,ZCMD,1.73,-2.56,-59.67%,29022609
跌幅排行,4,MTEKW,0.1111,-0.0989,-47.10%,7716
跌幅排行,5,LESL,1.33,-1.08,-44.81%,2071338
跌幅排行,6,NVVE,3.23,-2.56,-44.21%,11539707
跌幅排行,7,CISS,0.962,-0.668,-40.98%,843150
跌幅排行,8,ORIQW,0.1116,-0.0744,-40.00%,910
跌幅排行,9,XBPEW,0.0406,-0.0243,-37.44%,800
跌幅排行,10,PSQH+,0.0232,-0.0135,-36.78%,6601
跌幅排行,11,TMCWW,0.0422,-0.0229,-35.18%,75588
跌幅排行,12,RSVRW,0.014,-0.007,-33.33%,27538
跌幅排行,13,ALVOW,0.15,-0.0699,-31.79%,11599
跌幅排行,14,DFLIW,0.035,-0.015,-30.00%,4011
跌幅排行,15,TSLT,10.84,-4.51,-29.38%,6400738
跌幅排行,16,TSLL,7.76,-3.2,-29.20%,209340164
跌幅排行,17,TSLG,3.86,-1.59,-29.17%,39063381
跌幅排行,18,TSLR,13.365,-5.465,-29.02%,2685033
跌幅排行,19,TSLI,14.52,-5.92,-28.96%,119476
跌幅排行,20,GRABW,0.02,-0.008,-28.57%,72416
成交量排行,1,LBGJ,0.0312,-0.0033,-9.57%,250845886
成交量排行,2,TSLL,7.76,-3.2,-29.20%,209340164
成交量排行,3,NOK,9.73,-0.55,-5.35%,181058797
成交量排行,4,NU,14.19,-0.32,-2.21%,180320387
成交量排行,5,WBUY,1.12,0.362,47.76%,172893731
成交量排行,6,BITO,8.78,-0.17,-1.90%,167446418
成交量排行,7,AAL,13.555,-1.235,-8.35%,121288878
成交量排行,8,TSLA,319.69,-54.32,-14.52%,114296422
成交量排行,9,INTC,100.23,-2.39,-2.33%,112047245
成交量排行,10,NVDA,208.76,-3.3,-1.56%,109608920
成交量排行,11,T,22.94,-0.1,-0.43%,103077652
成交量排行,12,MSTU,1.7935,-0.2715,-13.15%,95478659
成交量排行,13,AEHL,0.7166,0.1598,28.70%,94692932
成交量排行,14,OPEN,3.845,-0.535,-12.21%,85961380
成交量排行,15,ONDS,7.93,-0.07,-0.88%,85681756
成交量排行,16,NVD,4.68,0.14,3.08%,85059796
成交量排行,17,SMCI,31.2,0.64,2.09%,84004179
成交量排行,18,SNXX,18.34,0.32,1.78%,82031674
成交量排行,19,EHGO,2.71,0.95,53.98%,79506348
成交量排行,20,TQQQ,66.3,-3.98,-5.66%,78108810
