代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
JLHL,12.79,9.73,317.97%,3.06,72957156,2026-07-10
GIPRW,0.0466,0.0235,101.73%,0.0231,11,2026-07-10
VRAX,6.36,3.18,100.00%,3.18,71070994,2026-07-10
FBRX,36.7,16.12,78.33%,20.58,4810833,2026-07-10
NRSNW,0.1185,0.0483,68.80%,0.0702,88,2026-07-10
MRNOW,0.016,0.006,60.00%,0.01,3000,2026-07-10
VLN+,0.0398,0.0147,58.57%,0.0251,42303,2026-07-10
TRAX,32.4,11.63,55.99%,20.77,4471446,2026-07-10
CIRC,0.925,0.322,53.40%,0.603,80942536,2026-07-10
JSPRW,0.013,0.0045,52.94%,0.0085,7809,2026-07-10
LASC,28.57,9.8457,52.58%,18.7243,25729,2026-07-10
RVSNW,0.0239,0.0079,49.38%,0.016,446,2026-07-10
WRAP,2.36,0.77,48.43%,1.59,58804644,2026-07-10
GGROW,0.0087,0.0027,45.00%,0.006,648,2026-07-10
CELUW,0.0039,0.0012,44.44%,0.0027,210293,2026-07-10
TDTH,2.59,0.76,41.53%,1.83,11166489,2026-07-10
QSEAR,0.23,0.0673,41.36%,0.1627,55658,2026-07-10
ANGHW,0.0106,0.0031,41.33%,0.0075,12038,2026-07-10
RCKTW,0.0038,0.0011,40.74%,0.0027,16513,2026-07-10
CDTTW,0.015,0.0041,37.61%,0.0109,206,2026-07-10
AFJKR,0.1073,-0.2327,-68.44%,0.34,613341,2026-07-10
WGSWW,0.0013,-0.0017,-56.67%,0.003,203917,2026-07-10
AFJK,12.89,-13.11,-50.42%,26.0,214167,2026-07-10
SORNW,0.2844,-0.2845,-50.01%,0.5689,6461,2026-07-10
RDACR,0.0701,-0.0699,-49.93%,0.14,13,2026-07-10
OIOWW,0.0373,-0.0327,-46.71%,0.07,11,2026-07-10
MDCXW,0.36,-0.2619,-42.11%,0.6219,17274,2026-07-10
NXGLW,0.0284,-0.0206,-42.04%,0.049,50479,2026-07-10
FGIWW,0.09,-0.0601,-40.04%,0.1501,43118,2026-07-10
REVBW,0.0062,-0.0038,-38.00%,0.01,650,2026-07-10
QTEXW,0.0311,-0.0179,-36.53%,0.049,22888,2026-07-10
CCGWW,0.0137,-0.0078,-36.28%,0.0215,31,2026-07-10
COOTW,0.0137,-0.0075,-35.38%,0.0212,538,2026-07-10
RNWWW,0.0021,-0.0011,-34.38%,0.0032,36610,2026-07-10
BYRN,3.94,-2.0,-33.67%,5.94,5213608,2026-07-10
RXT,4.37,-2.21,-33.59%,6.58,59130269,2026-07-10
ILLRW,0.0304,-0.0141,-31.69%,0.0445,41914,2026-07-10
SES+,0.02,-0.009,-31.03%,0.029,3521,2026-07-10
ONFOW,0.0112,-0.005,-30.86%,0.0162,235937,2026-07-10
RSVRW,0.07,-0.03,-30.00%,0.1,5882,2026-07-10
SOXS,4.065,-0.435,-9.67%,4.5,673376140,2026-07-10
BITO,8.58,0.14,1.66%,8.44,326768067,2026-07-10
EDBL,0.116,0.0,0.00%,0.0,187523660,2026-07-10
SNDQ,2.545,-0.415,-14.02%,2.96,169862398,2026-07-10
TZA,3.925,-0.145,-3.56%,4.07,166023551,2026-07-10
RKTO,0.91,0.1076,13.41%,0.8024,143550352,2026-07-10
NVDA,202.78,-1.34,-0.66%,204.12,130731266,2026-07-10
AAL,17.06,0.54,3.27%,16.52,123669792,2026-07-10
EOSER,0.039,-0.011,-22.00%,0.05,119592745,2026-07-10
YHC,0.0291,-0.0074,-20.27%,0.0365,117213879,2026-07-10
OPEN,5.3,0.51,10.65%,4.79,111953716,2026-07-10
INTC,112.54,2.3,2.09%,110.24,98651069,2026-07-10
NOK,12.915,0.965,8.08%,11.95,96973249,2026-07-10
NU,13.655,0.285,2.13%,13.37,96735329,2026-07-10
LGHL,0.358,0.0413,13.04%,0.3167,84323334,2026-07-10
RIVN,18.12,1.46,8.76%,16.66,83502524,2026-07-10
ONDS,7.65,0.13,1.73%,7.52,82679981,2026-07-10
PATH,11.81,0.39,3.42%,11.42,78623506,2026-07-10
MARA,13.22,1.2,9.98%,12.02,77885661,2026-07-10
