排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,JLHL,12.79,9.73,317.97%,72957156
漲幅排行,2,GIPRW,0.0466,0.0235,101.73%,11
漲幅排行,3,VRAX,6.36,3.18,100.00%,71070994
漲幅排行,4,FBRX,36.7,16.12,78.33%,4810833
漲幅排行,5,NRSNW,0.1185,0.0483,68.80%,88
漲幅排行,6,MRNOW,0.016,0.006,60.00%,3000
漲幅排行,7,VLN+,0.0398,0.0147,58.57%,42303
漲幅排行,8,TRAX,32.4,11.63,55.99%,4471446
漲幅排行,9,CIRC,0.925,0.322,53.40%,80942536
漲幅排行,10,JSPRW,0.013,0.0045,52.94%,7809
漲幅排行,11,LASC,28.57,9.8457,52.58%,25729
漲幅排行,12,RVSNW,0.0239,0.0079,49.38%,446
漲幅排行,13,WRAP,2.36,0.77,48.43%,58804644
漲幅排行,14,GGROW,0.0087,0.0027,45.00%,648
漲幅排行,15,CELUW,0.0039,0.0012,44.44%,210293
漲幅排行,16,TDTH,2.59,0.76,41.53%,11166489
漲幅排行,17,QSEAR,0.23,0.0673,41.36%,55658
漲幅排行,18,ANGHW,0.0106,0.0031,41.33%,12038
漲幅排行,19,RCKTW,0.0038,0.0011,40.74%,16513
漲幅排行,20,CDTTW,0.015,0.0041,37.61%,206
跌幅排行,1,AFJKR,0.1073,-0.2327,-68.44%,613341
跌幅排行,2,WGSWW,0.0013,-0.0017,-56.67%,203917
跌幅排行,3,AFJK,12.89,-13.11,-50.42%,214167
跌幅排行,4,SORNW,0.2844,-0.2845,-50.01%,6461
跌幅排行,5,RDACR,0.0701,-0.0699,-49.93%,13
跌幅排行,6,OIOWW,0.0373,-0.0327,-46.71%,11
跌幅排行,7,MDCXW,0.36,-0.2619,-42.11%,17274
跌幅排行,8,NXGLW,0.0284,-0.0206,-42.04%,50479
跌幅排行,9,FGIWW,0.09,-0.0601,-40.04%,43118
跌幅排行,10,REVBW,0.0062,-0.0038,-38.00%,650
跌幅排行,11,QTEXW,0.0311,-0.0179,-36.53%,22888
跌幅排行,12,CCGWW,0.0137,-0.0078,-36.28%,31
跌幅排行,13,COOTW,0.0137,-0.0075,-35.38%,538
跌幅排行,14,RNWWW,0.0021,-0.0011,-34.38%,36610
跌幅排行,15,BYRN,3.94,-2.0,-33.67%,5213608
跌幅排行,16,RXT,4.37,-2.21,-33.59%,59130269
跌幅排行,17,ILLRW,0.0304,-0.0141,-31.69%,41914
跌幅排行,18,SES+,0.02,-0.009,-31.03%,3521
跌幅排行,19,ONFOW,0.0112,-0.005,-30.86%,235937
跌幅排行,20,RSVRW,0.07,-0.03,-30.00%,5882
成交量排行,1,SOXS,4.065,-0.435,-9.67%,673376140
成交量排行,2,BITO,8.58,0.14,1.66%,326768067
成交量排行,3,EDBL,0.116,0.0,0.00%,187523660
成交量排行,4,SNDQ,2.545,-0.415,-14.02%,169862398
成交量排行,5,TZA,3.925,-0.145,-3.56%,166023551
成交量排行,6,RKTO,0.91,0.1076,13.41%,143550352
成交量排行,7,NVDA,202.78,-1.34,-0.66%,130731266
成交量排行,8,AAL,17.06,0.54,3.27%,123669792
成交量排行,9,EOSER,0.039,-0.011,-22.00%,119592745
成交量排行,10,YHC,0.0291,-0.0074,-20.27%,117213879
成交量排行,11,OPEN,5.3,0.51,10.65%,111953716
成交量排行,12,INTC,112.54,2.3,2.09%,98651069
成交量排行,13,NOK,12.915,0.965,8.08%,96973249
成交量排行,14,NU,13.655,0.285,2.13%,96735329
成交量排行,15,LGHL,0.358,0.0413,13.04%,84323334
成交量排行,16,RIVN,18.12,1.46,8.76%,83502524
成交量排行,17,ONDS,7.65,0.13,1.73%,82679981
成交量排行,18,CIRC,0.925,0.322,53.40%,80942536
成交量排行,19,PATH,11.81,0.39,3.42%,78623506
成交量排行,20,MARA,13.22,1.2,9.98%,77885661
