代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
NXTC,6.58,4.4,201.83%,2.18,109965049,2026-07-15
FGIWW,0.09,0.0519,136.22%,0.0381,3147,2026-07-15
PTORW,0.684,0.334,95.43%,0.35,64041,2026-07-15
PRENW,0.0159,0.0074,87.06%,0.0085,147918,2026-07-15
EOSER,0.04,0.0176,78.57%,0.0224,167488794,2026-07-15
VEEAW,0.0674,0.0264,64.39%,0.041,2142,2026-07-15
RNWWW,0.0034,0.0013,61.90%,0.0021,10000,2026-07-15
ASTLW,0.03,0.011,57.89%,0.019,160,2026-07-15
CNEY,0.75,0.2703,56.35%,0.4797,51924108,2026-07-15
VEEE,38.51,13.65,54.91%,24.86,22911745,2026-07-15
IVDAW,0.0357,0.0122,51.91%,0.0235,100,2026-07-15
AMPGR,1.85,0.62,50.41%,1.23,58830,2026-07-15
NVNIW,0.0365,0.0118,47.77%,0.0247,3485,2026-07-15
LEDS,2.24,0.72,47.37%,1.52,45082642,2026-07-15
TNONW,0.0107,0.0033,44.59%,0.0074,2539,2026-07-15
CRMT,4.28,1.26,41.72%,3.02,3986182,2026-07-15
TAVIR,0.12,0.0349,41.01%,0.0851,11351,2026-07-15
SHPH,4.16,1.2,40.54%,2.96,53028582,2026-07-15
NXGLW,0.0323,0.0091,39.22%,0.0232,3006,2026-07-15
AFJKR,0.1399,0.0394,39.20%,0.1005,62538,2026-07-15
RQI^,0.0029,-0.0071,-71.00%,0.01,3101276,2026-07-15
LCDL,0.2876,-0.3024,-51.25%,0.59,179658940,2026-07-15
IBX,15.465,-15.735,-50.43%,31.2,13551328,2026-07-15
LESL,3.3,-2.3,-41.07%,5.6,12038963,2026-07-15
ORIQW,0.1004,-0.0687,-40.63%,0.1691,108,2026-07-15
STAK,2.23,-1.495,-40.13%,3.725,549363,2026-07-15
BACCR,0.57,-0.2919,-33.87%,0.8619,1690644,2026-07-15
EVLVW,0.0028,-0.0014,-33.33%,0.0042,2033021,2026-07-15
NTRBW,0.52,-0.25,-32.47%,0.77,2334,2026-07-15
CELUW,0.0011,-0.0005,-31.25%,0.0016,226481,2026-07-15
MTNB,0.3348,-0.1452,-30.25%,0.48,4126642,2026-07-15
RCKTW,0.0027,-0.0011,-28.95%,0.0038,8257,2026-07-15
HUBCZ,0.0143,-0.0058,-28.86%,0.0201,1509,2026-07-15
RSVRW,0.05,-0.02,-28.57%,0.07,2700,2026-07-15
WGSWW,0.0013,-0.0005,-27.78%,0.0018,89193,2026-07-15
WYFL,17.95,-6.8517,-27.63%,24.8017,279176,2026-07-15
FTRK,0.43,-0.1631,-27.50%,0.5931,3420488,2026-07-15
UBXG,4.61,-1.69,-26.83%,6.3,9900899,2026-07-15
ACHR+,0.055,-0.0201,-26.76%,0.0751,291572,2026-07-15
PSQH,3.58,-1.24,-25.73%,4.82,223020,2026-07-15
SOXS,4.3,-0.35,-7.53%,4.65,486646275,2026-07-15
BITO,8.755,0.315,3.73%,8.44,407622389,2026-07-15
PMI,0.1479,0.0054,3.79%,0.1425,348289195,2026-07-15
TZA,4.04,-0.04,-0.98%,4.08,219857897,2026-07-15
LCID,4.62,-0.89,-16.15%,5.51,153316866,2026-07-15
NU,13.975,0.305,2.23%,13.67,152104607,2026-07-15
AAL,15.67,-0.64,-3.92%,16.31,138281559,2026-07-15
SNDQ,2.68,-0.31,-10.37%,2.99,129089016,2026-07-15
NVDA,211.8,8.27,4.06%,203.53,122886603,2026-07-15
HAO,0.285,0.0195,7.34%,0.2655,113377187,2026-07-15
ONDS,7.36,0.4,5.75%,6.96,108132994,2026-07-15
OPEN,4.55,0.065,1.45%,4.485,98086018,2026-07-15
LHAI,1.22,0.22,22.00%,1.0,92670573,2026-07-15
VMAR,1.32,-0.09,-6.38%,1.41,91669460,2026-07-15
INTC,107.76,4.64,4.50%,103.12,90556078,2026-07-15
SOFI,18.55,0.42,2.32%,18.13,89084103,2026-07-15
DRAM,61.15,3.85,6.72%,57.3,85933183,2026-07-15
