排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,NXTC,6.58,4.4,201.83%,109965049
漲幅排行,2,FGIWW,0.09,0.0519,136.22%,3147
漲幅排行,3,PTORW,0.684,0.334,95.43%,64041
漲幅排行,4,PRENW,0.0159,0.0074,87.06%,147918
漲幅排行,5,EOSER,0.04,0.0176,78.57%,167488794
漲幅排行,6,VEEAW,0.0674,0.0264,64.39%,2142
漲幅排行,7,RNWWW,0.0034,0.0013,61.90%,10000
漲幅排行,8,ASTLW,0.03,0.011,57.89%,160
漲幅排行,9,CNEY,0.75,0.2703,56.35%,51924108
漲幅排行,10,VEEE,38.51,13.65,54.91%,22911745
漲幅排行,11,IVDAW,0.0357,0.0122,51.91%,100
漲幅排行,12,AMPGR,1.85,0.62,50.41%,58830
漲幅排行,13,NVNIW,0.0365,0.0118,47.77%,3485
漲幅排行,14,LEDS,2.24,0.72,47.37%,45082642
漲幅排行,15,TNONW,0.0107,0.0033,44.59%,2539
漲幅排行,16,CRMT,4.28,1.26,41.72%,3986182
漲幅排行,17,TAVIR,0.12,0.0349,41.01%,11351
漲幅排行,18,SHPH,4.16,1.2,40.54%,53028582
漲幅排行,19,NXGLW,0.0323,0.0091,39.22%,3006
漲幅排行,20,AFJKR,0.1399,0.0394,39.20%,62538
跌幅排行,1,RQI^,0.0029,-0.0071,-71.00%,3101276
跌幅排行,2,LCDL,0.2876,-0.3024,-51.25%,179658940
跌幅排行,3,IBX,15.465,-15.735,-50.43%,13551328
跌幅排行,4,LESL,3.3,-2.3,-41.07%,12038963
跌幅排行,5,ORIQW,0.1004,-0.0687,-40.63%,108
跌幅排行,6,STAK,2.23,-1.495,-40.13%,549363
跌幅排行,7,BACCR,0.57,-0.2919,-33.87%,1690644
跌幅排行,8,EVLVW,0.0028,-0.0014,-33.33%,2033021
跌幅排行,9,NTRBW,0.52,-0.25,-32.47%,2334
跌幅排行,10,CELUW,0.0011,-0.0005,-31.25%,226481
跌幅排行,11,MTNB,0.3348,-0.1452,-30.25%,4126642
跌幅排行,12,RCKTW,0.0027,-0.0011,-28.95%,8257
跌幅排行,13,HUBCZ,0.0143,-0.0058,-28.86%,1509
跌幅排行,14,RSVRW,0.05,-0.02,-28.57%,2700
跌幅排行,15,WGSWW,0.0013,-0.0005,-27.78%,89193
跌幅排行,16,WYFL,17.95,-6.8517,-27.63%,279176
跌幅排行,17,FTRK,0.43,-0.1631,-27.50%,3420488
跌幅排行,18,UBXG,4.61,-1.69,-26.83%,9900899
跌幅排行,19,ACHR+,0.055,-0.0201,-26.76%,291572
跌幅排行,20,PSQH,3.58,-1.24,-25.73%,223020
成交量排行,1,SOXS,4.3,-0.35,-7.53%,486646275
成交量排行,2,BITO,8.755,0.315,3.73%,407622389
成交量排行,3,PMI,0.1479,0.0054,3.79%,348289195
成交量排行,4,TZA,4.04,-0.04,-0.98%,219857897
成交量排行,5,LCDL,0.2876,-0.3024,-51.25%,179658940
成交量排行,6,EOSER,0.04,0.0176,78.57%,167488794
成交量排行,7,LCID,4.62,-0.89,-16.15%,153316866
成交量排行,8,NU,13.975,0.305,2.23%,152104607
成交量排行,9,AAL,15.67,-0.64,-3.92%,138281559
成交量排行,10,SNDQ,2.68,-0.31,-10.37%,129089016
成交量排行,11,NVDA,211.8,8.27,4.06%,122886603
成交量排行,12,HAO,0.285,0.0195,7.34%,113377187
成交量排行,13,NXTC,6.58,4.4,201.83%,109965049
成交量排行,14,ONDS,7.36,0.4,5.75%,108132994
成交量排行,15,OPEN,4.55,0.065,1.45%,98086018
成交量排行,16,LHAI,1.22,0.22,22.00%,92670573
成交量排行,17,VMAR,1.32,-0.09,-6.38%,91669460
成交量排行,18,INTC,107.76,4.64,4.50%,90556078
成交量排行,19,SOFI,18.55,0.42,2.32%,89084103
成交量排行,20,DRAM,61.15,3.85,6.72%,85933183
