代號,股價(收盤/最新),漲跌,漲跌幅(%),昨收,成交量,時間
ZCMD,4.29,2.82,191.84%,1.47,125539863,2026-07-23
PN,9.34,5.31,131.76%,4.03,9982476,2026-07-23
LABT,3.41,1.55,83.33%,1.86,78416237,2026-07-23
APXTW,0.52,0.2199,73.28%,0.3001,2643942,2026-07-23
ADVB,12.25,5.17,73.02%,7.08,29209780,2026-07-23
INLF,3.76,1.53,68.61%,2.23,50363932,2026-07-23
ORIQW,0.186,0.068,57.63%,0.118,209,2026-07-23
KWMWW,0.0125,0.0045,56.25%,0.008,894,2026-07-23
LIMNW,0.0829,0.0294,54.95%,0.0535,1018,2026-07-23
RNWWW,0.0026,0.0009,52.94%,0.0017,138210,2026-07-23
KUST,1.41,0.4491,46.74%,0.9609,51794318,2026-07-23
MWC,1.62,0.51,45.95%,1.11,9324752,2026-07-23
AUROW,0.26,0.0817,45.82%,0.1783,49081,2026-07-23
KSCP,2.08,0.65,45.45%,1.43,18517829,2026-07-23
ZBAO,0.262,0.081,44.75%,0.181,479580409,2026-07-23
SMCC,28.57,8.7442,44.11%,19.8258,10139,2026-07-23
SORNW,0.3596,0.1096,43.84%,0.25,4,2026-07-23
FVNNR,0.2399,0.0679,39.48%,0.172,8613,2026-07-23
SMCX,8.99,2.54,39.38%,6.45,20834466,2026-07-23
SMCL,12.44,3.5099,39.30%,8.9301,3399795,2026-07-23
WETO,0.1401,-0.6889,-83.10%,0.829,62768364,2026-07-23
CPHI,1.805,-6.295,-77.72%,8.1,13616458,2026-07-23
MVSTW,0.0003,-0.0008,-72.73%,0.0011,1293340,2026-07-23
FACTW,0.1811,-0.2789,-60.63%,0.46,120400,2026-07-23
OMH,0.361,-0.4451,-55.22%,0.8061,9978468,2026-07-23
ZYBT,1.38,-1.47,-51.58%,2.85,3541920,2026-07-23
STFS,3.75,-3.56,-48.70%,7.31,97192,2026-07-23
SGRP,0.2875,-0.2226,-43.64%,0.5101,3337625,2026-07-23
LBGJ,0.0345,-0.0254,-42.40%,0.0599,125511600,2026-07-23
AIMDW,0.076,-0.0523,-40.76%,0.1283,4425,2026-07-23
SMCZ,6.62,-4.39,-39.87%,11.01,15860879,2026-07-23
SLXNW,0.0302,-0.0195,-39.24%,0.0497,3279,2026-07-23
ATER,0.6409,-0.3891,-37.78%,1.03,803626,2026-07-23
VIVK,1.63,-0.95,-36.82%,2.58,4833955,2026-07-23
SCAGW,0.0261,-0.0143,-35.40%,0.0404,43128,2026-07-23
BGLWW,0.04,-0.0209,-34.32%,0.0609,40537,2026-07-23
ALISR,0.5011,-0.2569,-33.89%,0.758,4940,2026-07-23
JZXN,1.28,-0.65,-33.68%,1.93,1619853,2026-07-23
SWVLW,0.0064,-0.0032,-33.33%,0.0096,7915,2026-07-23
HUBCZ,0.011,-0.0046,-29.49%,0.0156,14142,2026-07-23
BITO,8.93,-0.08,-0.89%,9.01,363256909,2026-07-23
T,23.05,0.79,3.55%,22.26,187186007,2026-07-23
ONDS,8.0,0.34,4.44%,7.66,172499673,2026-07-23
SMCI,30.56,5.06,19.84%,25.5,161708026,2026-07-23
NVDA,212.06,4.77,2.30%,207.29,135111569,2026-07-23
AAL,14.79,-0.49,-3.21%,15.28,118240493,2026-07-23
NVD,4.54,-0.22,-4.62%,4.76,111658152,2026-07-23
CHAI,0.5,0.1095,28.04%,0.3905,108302440,2026-07-23
MSTU,2.06,-0.09,-4.19%,2.15,105791425,2026-07-23
PATH,10.71,-1.33,-11.05%,12.04,105587065,2026-07-23
OPEN,4.38,-0.1,-2.23%,4.48,95315852,2026-07-23
NU,14.505,0.115,0.80%,14.39,94322514,2026-07-23
SPCX,115.26,-8.28,-6.70%,123.54,90223221,2026-07-23
NOK,10.3,-0.33,-3.10%,10.63,89801321,2026-07-23
SOFI,17.07,-0.57,-3.23%,17.64,89761687,2026-07-23
INTC,102.62,-2.83,-2.68%,105.45,76815228,2026-07-23
