排行類型,名次,代號,股價,漲跌,漲跌幅(%),成交量
漲幅排行,1,ZCMD,4.29,2.82,191.84%,125539863
漲幅排行,2,PN,9.34,5.31,131.76%,9982476
漲幅排行,3,LABT,3.41,1.55,83.33%,78416237
漲幅排行,4,APXTW,0.52,0.2199,73.28%,2643942
漲幅排行,5,ADVB,12.25,5.17,73.02%,29209780
漲幅排行,6,INLF,3.76,1.53,68.61%,50363932
漲幅排行,7,ORIQW,0.186,0.068,57.63%,209
漲幅排行,8,KWMWW,0.0125,0.0045,56.25%,894
漲幅排行,9,LIMNW,0.0829,0.0294,54.95%,1018
漲幅排行,10,RNWWW,0.0026,0.0009,52.94%,138210
漲幅排行,11,KUST,1.41,0.4491,46.74%,51794318
漲幅排行,12,MWC,1.62,0.51,45.95%,9324752
漲幅排行,13,AUROW,0.26,0.0817,45.82%,49081
漲幅排行,14,KSCP,2.08,0.65,45.45%,18517829
漲幅排行,15,ZBAO,0.262,0.081,44.75%,479580409
漲幅排行,16,SMCC,28.57,8.7442,44.11%,10139
漲幅排行,17,SORNW,0.3596,0.1096,43.84%,4
漲幅排行,18,FVNNR,0.2399,0.0679,39.48%,8613
漲幅排行,19,SMCX,8.99,2.54,39.38%,20834466
漲幅排行,20,SMCL,12.44,3.5099,39.30%,3399795
跌幅排行,1,WETO,0.1401,-0.6889,-83.10%,62768364
跌幅排行,2,CPHI,1.805,-6.295,-77.72%,13616458
跌幅排行,3,MVSTW,0.0003,-0.0008,-72.73%,1293340
跌幅排行,4,FACTW,0.1811,-0.2789,-60.63%,120400
跌幅排行,5,OMH,0.361,-0.4451,-55.22%,9978468
跌幅排行,6,ZYBT,1.38,-1.47,-51.58%,3541920
跌幅排行,7,STFS,3.75,-3.56,-48.70%,97192
跌幅排行,8,SGRP,0.2875,-0.2226,-43.64%,3337625
跌幅排行,9,LBGJ,0.0345,-0.0254,-42.40%,125511600
跌幅排行,10,AIMDW,0.076,-0.0523,-40.76%,4425
跌幅排行,11,SMCZ,6.62,-4.39,-39.87%,15860879
跌幅排行,12,SLXNW,0.0302,-0.0195,-39.24%,3279
跌幅排行,13,ATER,0.6409,-0.3891,-37.78%,803626
跌幅排行,14,VIVK,1.63,-0.95,-36.82%,4833955
跌幅排行,15,SCAGW,0.0261,-0.0143,-35.40%,43128
跌幅排行,16,BGLWW,0.04,-0.0209,-34.32%,40537
跌幅排行,17,ALISR,0.5011,-0.2569,-33.89%,4940
跌幅排行,18,JZXN,1.28,-0.65,-33.68%,1619853
跌幅排行,19,SWVLW,0.0064,-0.0032,-33.33%,7915
跌幅排行,20,HUBCZ,0.011,-0.0046,-29.49%,14142
成交量排行,1,ZBAO,0.262,0.081,44.75%,479580409
成交量排行,2,BITO,8.93,-0.08,-0.89%,363256909
成交量排行,3,T,23.05,0.79,3.55%,187186007
成交量排行,4,ONDS,8.0,0.34,4.44%,172499673
成交量排行,5,SMCI,30.56,5.06,19.84%,161708026
成交量排行,6,NVDA,212.06,4.77,2.30%,135111569
成交量排行,7,ZCMD,4.29,2.82,191.84%,125539863
成交量排行,8,LBGJ,0.0345,-0.0254,-42.40%,125511600
成交量排行,9,AAL,14.79,-0.49,-3.21%,118240493
成交量排行,10,NVD,4.54,-0.22,-4.62%,111658152
成交量排行,11,CHAI,0.5,0.1095,28.04%,108302440
成交量排行,12,MSTU,2.06,-0.09,-4.19%,105791425
成交量排行,13,PATH,10.71,-1.33,-11.05%,105587065
成交量排行,14,OPEN,4.38,-0.1,-2.23%,95315852
成交量排行,15,NU,14.505,0.115,0.80%,94322514
成交量排行,16,SPCX,115.26,-8.28,-6.70%,90223221
成交量排行,17,NOK,10.3,-0.33,-3.10%,89801321
成交量排行,18,SOFI,17.07,-0.57,-3.23%,89761687
成交量排行,19,LABT,3.41,1.55,83.33%,78416237
成交量排行,20,INTC,102.62,-2.83,-2.68%,76815228
